family,scheme,target,kind,positives,negatives,spearman,auc,rmse
relative_object_global,leave_one_cell,feedback_target_contact,binary,126.0,514.0,,0.7321042554505589,0.3277086759746188
relative_object_global,leave_one_cell,commit_drop,binary,29.0,611.0,,0.5741294655454596,0.2173952754373565
relative_object_global,leave_one_cell,feedback_drop,binary,16.0,624.0,,0.3851161858974359,0.1607393494971348
relative_object_global,leave_one_cell,commit_wrong,binary,21.0,619.0,,0.4904992691745519,0.1895878898176826
relative_object_global,leave_one_cell,feedback_wrong,binary,39.0,601.0,,0.4588079696232774,0.2681597280021218
relative_object_global,leave_one_cell,commit_deadlock,binary,35.0,605.0,,0.5316174734356552,0.2352160412010907
relative_object_global,leave_one_cell,feedback_deadlock,binary,83.0,557.0,,0.3962492699703662,0.3541414920082182
object_spatial_only,leave_one_task,commit_target_lift,continuous,,,0.307845249718949,,0.0447532714263338
object_spatial_only,leave_one_task,feedback_target_lift,continuous,,,0.307197404296081,,0.0448544030766762
object_spatial_only,leave_one_task,lift_advantage,continuous,,,-0.1515957145675747,,0.0059702296258026
object_spatial_only,leave_one_task,commit_target_eef_distance,continuous,,,0.1146046193960434,,0.0828272325862741
object_spatial_only,leave_one_task,feedback_target_eef_distance,continuous,,,0.1261781034621666,,0.0815012864011461
object_spatial_only,leave_one_task,distance_advantage,continuous,,,0.0326140535655235,,0.0059876121218415
object_spatial_only,leave_one_task,commit_target_contact_count,continuous,,,0.4832544821266187,,37.57888199850045
object_spatial_only,leave_one_task,feedback_target_contact_count,continuous,,,0.4476056706344476,,39.70027537408463
object_spatial_only,leave_one_task,commit_target_contact,binary,141.0,499.0,,0.609786949786097,0.4331633541367659
object_spatial_only,leave_one_task,feedback_target_contact,binary,126.0,514.0,,0.7201222901612007,0.3847508992040941
object_spatial_only,leave_one_task,commit_drop,binary,29.0,611.0,,0.4237823804955133,0.2184625627819963
object_spatial_only,leave_one_task,feedback_drop,binary,16.0,624.0,,0.410957532051282,0.159810122998099
object_spatial_only,leave_one_task,commit_wrong,binary,21.0,619.0,,0.3484883452573274,0.1810487279031374
object_spatial_only,leave_one_task,feedback_wrong,binary,39.0,601.0,,0.5746405563377277,0.2436036589707849
object_spatial_only,leave_one_task,commit_deadlock,binary,35.0,605.0,,0.4093978748524203,0.2343217827691892
object_spatial_only,leave_one_task,feedback_deadlock,binary,83.0,557.0,,0.6833726287555969,0.3230425784330508
object_spatial_only,leave_one_level,commit_target_lift,continuous,,,0.3543822294594949,,0.0507901738908432
object_spatial_only,leave_one_level,feedback_target_lift,continuous,,,0.3564189203569018,,0.0504931112588006
object_spatial_only,leave_one_level,lift_advantage,continuous,,,-0.2590562588904972,,0.0048065048430767
object_spatial_only,leave_one_level,commit_target_eef_distance,continuous,,,0.3041515146521354,,0.0626501502935557
object_spatial_only,leave_one_level,feedback_target_eef_distance,continuous,,,0.291913630770583,,0.0640578778653715
object_spatial_only,leave_one_level,distance_advantage,continuous,,,-0.1183182318520938,,0.0058548773647408
object_spatial_only,leave_one_level,commit_target_contact_count,continuous,,,0.3191023585596031,,48.154715102956544
object_spatial_only,leave_one_level,feedback_target_contact_count,continuous,,,0.3000849047996987,,49.87805945967767
object_spatial_only,leave_one_level,commit_target_contact,binary,141.0,499.0,,0.7247828991315965,0.3892365338273504
object_spatial_only,leave_one_level,feedback_target_contact,binary,126.0,514.0,,0.7623525415354209,0.3591888370557515
object_spatial_only,leave_one_level,commit_drop,binary,29.0,611.0,,0.2993396918561996,0.2212195357445713
object_spatial_only,leave_one_level,feedback_drop,binary,16.0,624.0,,0.2473958333333333,0.1636853948891155
object_spatial_only,leave_one_level,commit_wrong,binary,21.0,619.0,,0.2403261789368413,0.1869176228860208
object_spatial_only,leave_one_level,feedback_wrong,binary,39.0,601.0,,0.4811638721788472,0.2512641344086457
object_spatial_only,leave_one_level,commit_deadlock,binary,35.0,605.0,,0.5410625737898466,0.2312454804072584
object_spatial_only,leave_one_level,feedback_deadlock,binary,83.0,557.0,,0.774458696545608,0.3150296733704198
object_spatial_only,leave_one_cell,commit_target_lift,continuous,,,0.3375432474232989,,0.04544600215685
object_spatial_only,leave_one_cell,feedback_target_lift,continuous,,,0.3398273869153503,,0.0453293692324365
object_spatial_only,leave_one_cell,lift_advantage,continuous,,,-0.2080884583181907,,0.0047419480364904
object_spatial_only,leave_one_cell,commit_target_eef_distance,continuous,,,0.2795433613119173,,0.0641411584185365
object_spatial_only,leave_one_cell,feedback_target_eef_distance,continuous,,,0.2628701486087613,,0.0651281942731475
object_spatial_only,leave_one_cell,distance_advantage,continuous,,,-0.0584579688616973,,0.0057675527107282
object_spatial_only,leave_one_cell,commit_target_contact_count,continuous,,,0.4354816963499713,,41.40847012812824
object_spatial_only,leave_one_cell,feedback_target_contact_count,continuous,,,0.3908763690507263,,43.57570478872666
object_spatial_only,leave_one_cell,commit_target_contact,binary,141.0,499.0,,0.7052118421239643,0.3835700913959989
object_spatial_only,leave_one_cell,feedback_target_contact,binary,126.0,514.0,,0.7743345068247792,0.3478354588033297
object_spatial_only,leave_one_cell,commit_drop,binary,29.0,611.0,,0.3496811332467972,0.2199548491940479
object_spatial_only,leave_one_cell,feedback_drop,binary,16.0,624.0,,0.3024839743589743,0.1615333585603062
object_spatial_only,leave_one_cell,commit_wrong,binary,21.0,619.0,,0.2465574274944226,0.183831131730182
object_spatial_only,leave_one_cell,feedback_wrong,binary,39.0,601.0,,0.5011305943086309,0.2456836935124343
object_spatial_only,leave_one_cell,commit_deadlock,binary,35.0,605.0,,0.4979456906729634,0.2314127028226055
object_spatial_only,leave_one_cell,feedback_deadlock,binary,83.0,557.0,,0.794748112738206,0.3180523510369375
relative_object_spatial,leave_one_task,commit_target_lift,continuous,,,0.1993620276725157,,0.048834358418355
relative_object_spatial,leave_one_task,feedback_target_lift,continuous,,,0.170642851863984,,0.0531362594982529
relative_object_spatial,leave_one_task,lift_advantage,continuous,,,-0.1685289245264858,,0.008147666259042
relative_object_spatial,leave_one_task,commit_target_eef_distance,continuous,,,0.0698092677228216,,0.0980005645303471
relative_object_spatial,leave_one_task,feedback_target_eef_distance,continuous,,,0.0642637677338079,,0.0988846644305926
relative_object_spatial,leave_one_task,distance_advantage,continuous,,,0.466628056891306,,0.0053224276577027
relative_object_spatial,leave_one_task,commit_target_contact_count,continuous,,,0.3624669922065959,,39.8074824276716
