family,deployable,feature_count,target_variant,alpha,scheme,query_rate,raw_gain,adjusted_gain,rescues,harms,rescue_vs_harm_auc,effect_spearman,worst_cell_adjusted_gain,quintile_monotonic_rho,quintile_top_minus_bottom
relative,True,80,direct_terminal_utility,10.0,leave_one_level,0.2,-0.025,-0.0299999999999999,7,23,0.3688829787234042,-0.1151068499452206,-0.236875,-0.7,-0.2421875
relative,True,80,direct_grounded,10.0,leave_one_level,0.2,-0.0265625,-0.0315624999999999,8,25,0.3654255319148936,-0.1160583532535913,-0.2368749999999999,-0.8999999999999998,-0.203125
relative,True,80,potential_success,10.0,leave_one_level,0.2,-0.0375,-0.0424999999999999,13,37,0.3119680851063829,-0.1913236201295372,-0.2962499999999999,-0.8999999999999998,-0.296875
relative,True,80,direct_success,10.0,leave_one_cell,0.2,0.003125,-0.0018749999999999,13,11,0.4960106382978723,0.0083545029372005,-0.0806249999999999,0.2051956704170308,0.0390625
relative,True,80,direct_terminal_utility,10.0,leave_one_cell,0.2,-0.003125,-0.0081249999999999,12,14,0.4640957446808511,-0.0225219231510465,-0.0549999999999999,-0.4999999999999999,-0.03125
relative,True,80,direct_grounded,10.0,leave_one_cell,0.2,-0.0046875,-0.0096874999999999,13,16,0.4680851063829787,-0.0216681573426292,-0.0862499999999999,-0.6,-0.015625
relative,True,80,potential_success,10.0,leave_one_cell,0.2,-0.0234375,-0.0284374999999999,13,28,0.3367021276595744,-0.1706057341099851,-0.32375,-0.8207826816681233,-0.296875
relative_object_global,True,102,direct_success,0.01,leave_one_task,0.2,-0.01875,-0.02375,11,23,0.4150265957446808,-0.0694030701875592,-0.1549999999999999,-0.7,-0.1484375
relative_object_global,True,102,direct_terminal_utility,0.01,leave_one_task,0.2,-0.021875,-0.026875,9,23,0.4054521276595744,-0.0832666006956675,-0.2187499999999999,-0.7,-0.171875
relative_object_global,True,102,direct_grounded,0.01,leave_one_task,0.2,-0.0234375,-0.0284375,9,24,0.3932180851063829,-0.0944357793668226,-0.2199999999999999,-0.7,-0.21875
relative_object_global,True,102,potential_success,0.01,leave_one_task,0.2,0.0015625,-0.0034374999999999,16,15,0.6172872340425531,0.1032974495831936,-0.0887499999999999,0.5642880936468347,0.1875
relative_object_global,True,102,direct_success,0.01,leave_one_level,0.2,-0.01875,-0.02375,13,25,0.40625,-0.0867679028998835,-0.2099999999999999,-0.8999999999999998,-0.1171875
relative_object_global,True,102,direct_terminal_utility,0.01,leave_one_level,0.2,-0.0296875,-0.0346874999999999,14,33,0.3878989361702127,-0.1086056635512556,-0.2099999999999999,-0.7,-0.1484375
relative_object_global,True,102,direct_grounded,0.01,leave_one_level,0.2,-0.025,-0.03,15,31,0.383377659574468,-0.1127710058286851,-0.1837499999999999,-0.7,-0.15625
relative_object_global,True,102,potential_success,0.01,leave_one_level,0.2,-0.0046875,-0.0096874999999999,14,17,0.4058510638297872,-0.0838706841512623,-0.26375,-0.7,-0.0859375
relative_object_global,True,102,direct_success,0.01,leave_one_cell,0.2,-0.025,-0.0299999999999999,8,24,0.382313829787234,-0.0975584514241601,-0.2899999999999999,-0.8207826816681233,-0.1875
relative_object_global,True,102,direct_terminal_utility,0.01,leave_one_cell,0.2,-0.0359375,-0.0409374999999999,8,31,0.3663563829787234,-0.1204060293544634,-0.3143749999999999,-0.6668859288553501,-0.296875
