quintile,states,mean_effect,mean_score,family,target_variant,alpha,scheme
2,128,0.015625,-0.0119368158013344,relative,direct_terminal_utility,0.1,leave_one_cell
3,128,-0.1171875,0.1434297927255821,relative,direct_terminal_utility,0.1,leave_one_cell
4,128,-0.0234375,0.4095602768735331,relative,direct_terminal_utility,0.1,leave_one_cell
0,128,0.0625,-0.5727745778599427,relative,direct_grounded,0.1,leave_one_cell
1,128,-0.0703125,-0.2365084142982413,relative,direct_grounded,0.1,leave_one_cell
2,128,0.046875,-0.0321473570976785,relative,direct_grounded,0.1,leave_one_cell
3,128,-0.140625,0.1582388665771405,relative,direct_grounded,0.1,leave_one_cell
4,128,-0.0078125,0.4803129717479781,relative,direct_grounded,0.1,leave_one_cell
0,128,0.0078125,-0.2476683706595941,relative,potential_success,0.1,leave_one_cell
1,128,-0.1328125,-0.1068040411186304,relative,potential_success,0.1,leave_one_cell
2,128,-0.015625,-0.0110341579541493,relative,potential_success,0.1,leave_one_cell
3,128,0.0078125,0.0640404510206845,relative,potential_success,0.1,leave_one_cell
4,128,0.0234375,0.2651902402791505,relative,potential_success,0.1,leave_one_cell
0,128,-0.0234375,-0.568935106384126,relative,direct_success,1.0,leave_one_task
1,128,-0.0859375,-0.2709434869145724,relative,direct_success,1.0,leave_one_task
2,128,-0.0234375,-0.0960811851892134,relative,direct_success,1.0,leave_one_task
3,128,-0.03125,0.1031340834771854,relative,direct_success,1.0,leave_one_task
4,128,0.0546875,0.3695290484704667,relative,direct_success,1.0,leave_one_task
0,128,-0.015625,-0.5392005595654836,relative,direct_terminal_utility,1.0,leave_one_task
1,128,-0.09375,-0.2637831088556269,relative,direct_terminal_utility,1.0,leave_one_task
2,128,-0.015625,-0.1057043647907417,relative,direct_terminal_utility,1.0,leave_one_task
3,128,0.0078125,0.0797336358266363,relative,direct_terminal_utility,1.0,leave_one_task
4,128,0.0078125,0.3395820876613695,relative,direct_terminal_utility,1.0,leave_one_task
0,128,-0.0078125,-0.6340933643414784,relative,direct_grounded,1.0,leave_one_task
1,128,-0.078125,-0.322229778530697,relative,direct_grounded,1.0,leave_one_task
2,128,-0.0546875,-0.13734680094971,relative,direct_grounded,1.0,leave_one_task
3,128,0.0,0.0789451812126231,relative,direct_grounded,1.0,leave_one_task
4,128,0.03125,0.3817495711545737,relative,direct_grounded,1.0,leave_one_task
0,128,-0.0546875,-0.1855021273471775,relative,potential_success,1.0,leave_one_task
1,128,0.03125,-0.0860850331454234,relative,potential_success,1.0,leave_one_task
2,128,-0.0390625,-0.0281970282449466,relative,potential_success,1.0,leave_one_task
3,128,-0.03125,0.0297161788660418,relative,potential_success,1.0,leave_one_task
4,128,-0.015625,0.1180250653002853,relative,potential_success,1.0,leave_one_task
0,128,0.0703125,-0.5372338980521607,relative,direct_success,1.0,leave_one_level
1,128,-0.0546875,-0.188683682714842,relative,direct_success,1.0,leave_one_level
2,128,0.03125,-0.000604849929141,relative,direct_success,1.0,leave_one_level
3,128,-0.078125,0.1813274570146409,relative,direct_success,1.0,leave_one_level
4,128,-0.078125,0.5132658319978616,relative,direct_success,1.0,leave_one_level
0,128,0.1015625,-0.4838106772004891,relative,direct_terminal_utility,1.0,leave_one_level
1,128,-0.03125,-0.1470761543603617,relative,direct_terminal_utility,1.0,leave_one_level
2,128,0.0078125,0.0207972779313301,relative,direct_terminal_utility,1.0,leave_one_level
3,128,-0.0703125,0.1725698324111691,relative,direct_terminal_utility,1.0,leave_one_level
4,128,-0.1171875,0.4510051455081481,relative,direct_terminal_utility,1.0,leave_one_level
0,128,0.0703125,-0.586916095247988,relative,direct_grounded,1.0,leave_one_level
1,128,-0.0078125,-0.1819860778851562,relative,direct_grounded,1.0,leave_one_level
2,128,0.0078125,0.0322910575005705,relative,direct_grounded,1.0,leave_one_level
3,128,-0.0625,0.2148299529959191,relative,direct_grounded,1.0,leave_one_level
4,128,-0.1171875,0.534795448211589,relative,direct_grounded,1.0,leave_one_level
0,128,0.140625,-0.1402902627452058,relative,potential_success,1.0,leave_one_level
1,128,-0.0546875,-0.0591410107654563,relative,potential_success,1.0,leave_one_level
2,128,-0.046875,-0.0164821537445859,relative,potential_success,1.0,leave_one_level
3,128,-0.1328125,0.0367623381008258,relative,potential_success,1.0,leave_one_level
4,128,-0.015625,0.1458328440837143,relative,potential_success,1.0,leave_one_level
0,128,0.03125,-0.49070612614173,relative,direct_success,1.0,leave_one_cell
1,128,-0.0703125,-0.1938162518159875,relative,direct_success,1.0,leave_one_cell
2,128,0.0546875,-0.0153297029214479,relative,direct_success,1.0,leave_one_cell
3,128,-0.140625,0.1501293046629974,relative,direct_success,1.0,leave_one_cell
4,128,0.015625,0.4116731027416736,relative,direct_success,1.0,leave_one_cell
0,128,0.046875,-0.4459105221325212,relative,direct_terminal_utility,1.0,leave_one_cell
1,128,-0.03125,-0.1735801583914051,relative,direct_terminal_utility,1.0,leave_one_cell
2,128,0.0,-0.0106775121223634,relative,direct_terminal_utility,1.0,leave_one_cell
3,128,-0.1015625,0.1397771279537989,relative,direct_terminal_utility,1.0,leave_one_cell
4,128,-0.0234375,0.3837836305280139,relative,direct_terminal_utility,1.0,leave_one_cell
0,128,0.03125,-0.5418018583523797,relative,direct_grounded,1.0,leave_one_cell
1,128,-0.0234375,-0.2209961393034181,relative,direct_grounded,1.0,leave_one_cell
2,128,0.015625,-0.0294532357497983,relative,direct_grounded,1.0,leave_one_cell
3,128,-0.1171875,0.1544380989021196,relative,direct_grounded,1.0,leave_one_cell
4,128,-0.015625,0.4478767039746493,relative,direct_grounded,1.0,leave_one_cell
0,128,0.078125,-0.1330345605072252,relative,potential_success,1.0,leave_one_cell
1,128,-0.1015625,-0.0596537346124425,relative,potential_success,1.0,leave_one_cell
2,128,-0.0234375,-0.0172995454870927,relative,potential_success,1.0,leave_one_cell
3,128,-0.0390625,0.0298985458294049,relative,potential_success,1.0,leave_one_cell
4,128,-0.0234375,0.1089182295002376,relative,potential_success,1.0,leave_one_cell
0,128,-0.0703125,-0.4917225221642457,relative,direct_success,10.0,leave_one_task
1,128,-0.09375,-0.2459063040360299,relative,direct_success,10.0,leave_one_task
2,128,-0.0078125,-0.0793378762107262,relative,direct_success,10.0,leave_one_task
3,128,0.03125,0.0905785491288544,relative,direct_success,10.0,leave_one_task
4,128,0.03125,0.3047524204638485,relative,direct_success,10.0,leave_one_task
0,128,-0.0390625,-0.4585873854965997,relative,direct_terminal_utility,10.0,leave_one_task
1,128,-0.109375,-0.2360148451206234,relative,direct_terminal_utility,10.0,leave_one_task
2,128,0.0,-0.081207894857652,relative,direct_terminal_utility,10.0,leave_one_task
3,128,0.015625,0.0656761425276156,relative,direct_terminal_utility,10.0,leave_one_task
4,128,0.0234375,0.2708764661428315,relative,direct_terminal_utility,10.0,leave_one_task
0,128,-0.0546875,-0.5449098547273021,relative,direct_grounded,10.0,leave_one_task
1,128,-0.0859375,-0.2841122739919359,relative,direct_grounded,10.0,leave_one_task
2,128,-0.03125,-0.1056895386311231,relative,direct_grounded,10.0,leave_one_task
3,128,0.046875,0.0582384412849195,relative,direct_grounded,10.0,leave_one_task
4,128,0.015625,0.2992097475457171,relative,direct_grounded,10.0,leave_one_task
0,128,-0.0546875,-0.0744189314672206,relative,potential_success,10.0,leave_one_task
1,128,0.109375,-0.0478050510487332,relative,potential_success,10.0,leave_one_task
2,128,-0.0390625,-0.028723258288517,relative,potential_success,10.0,leave_one_task
3,128,-0.0546875,-0.0064981365322247,relative,potential_success,10.0,leave_one_task
