seed_group,id,factor,terminal_success,observations,supported_target,physical_interventions,localization_valid_observations,localization_valid_episode,close_near_observations,close_near_episode,grasp_attempt_observations,grasp_attempt_episode,mask_miss_observations,mask_miss_episode,attempt_and_miss_observations,attempt_and_miss_episode,persistent_miss_observations,persistent_miss_episode,persistent_miss_and_geometry_observations,persistent_miss_and_geometry_episode
0,position_y0.2_t6_i1,Position,True,70,True,0,59,True,1,True,2,True,2,True,0,False,0,False,0,False
0,position_y0.3_t6_i1,Position,False,70,True,0,63,True,0,False,0,False,0,False,0,False,0,False,0,False
0,position_y0.4_t6_i1,Position,False,70,True,0,42,True,0,False,0,False,0,False,0,False,0,False,0,False
0,position_y0.5_t6_i1,Position,False,70,True,0,70,True,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t7_i2,Object,True,35,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t7_i2,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_x0.1_t7_i1,Position,True,32,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_x0.2_t7_i1,Position,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_x0.3_t7_i1,Position,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_x0.4_t7_i1,Position,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_x0.5_t7_i1,Position,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_y0.1_t7_i1,Position,True,31,True,0,1,True,0,False,0,False,0,False,0,False,0,False,0,False
0,position_y0.2_t7_i1,Position,True,45,True,0,32,True,3,True,16,True,25,True,1,True,0,False,0,False
0,position_y0.3_t7_i1,Position,False,70,True,0,2,True,0,False,0,False,0,False,0,False,0,False,0,False
0,position_y0.4_t7_i1,Position,True,51,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_y0.5_t7_i1,Position,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t8_i2,Object,True,37,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t8_i2,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_x0.1_t8_i1,Position,True,36,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_x0.2_t8_i1,Position,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_x0.3_t8_i1,Position,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_x0.4_t8_i1,Position,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_x0.5_t8_i1,Position,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_y0.1_t8_i1,Position,True,53,True,0,22,True,1,True,1,True,14,True,1,True,0,False,0,False
0,position_y0.2_t8_i1,Position,False,70,True,0,34,True,0,False,0,False,0,False,0,False,0,False,0,False
0,position_y0.3_t8_i1,Position,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_y0.4_t8_i1,Position,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_y0.5_t8_i1,Position,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t9_i2,Object,True,32,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t9_i2,Environment,True,29,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_x0.1_t9_i1,Position,True,27,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_x0.2_t9_i1,Position,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_x0.3_t9_i1,Position,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_x0.4_t9_i1,Position,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
