variant,metric,risk_lambda,candidate_spearman,snapshots,selection_change_rate,baseline_residual_mean,selected_residual_mean,pooled_residual_delta,pooled_relative_delta,environment_residual_delta,object_residual_delta,position_residual_delta,worst_factor_residual_delta
hetero_regularized,epistemic_mean,0.25,-0.006306992664791534,391,0.10741687979539642,1.0826671750039396,1.0782206020391811,-0.004446572964758519,-0.004107054381455999,-0.003304913572596209,-0.0003814069430033366,-0.010311774831069143,-0.0003814069430033366
hetero_regularized,epistemic_mean,0.5,-0.006306992664791534,391,0.24040920716112532,1.0826671750039396,1.074987075975179,-0.007680099028760515,-0.007093684195914196,-0.0057640782308794256,-0.0016958308219909668,-0.016861790732333536,-0.0016958308219909668
hetero_regularized,epistemic_mean,1.0,-0.006306992664791534,391,0.46547314578005117,1.0826671750039396,1.0745274128816318,-0.008139762122307896,-0.007518249661793134,-0.006798883638770332,-0.0028293943405151368,-0.015451464527531674,-0.0028293943405151368
hetero_regularized,epistemic_mean,2.0,-0.006306992664791534,391,0.6445012787723785,1.0826671750039396,1.071304761387808,-0.011362413616131639,-0.010494835235113038,-0.00749664770531978,-0.0027045464515686036,-0.027190564180675305,-0.0027045464515686036
hetero_regularized,predicted_mean_residual_rms,0.25,-0.11223090620979911,391,0.12531969309462915,1.0826671750039396,1.0778176699148114,-0.004849505089128109,-0.004479220577746307,-0.004013915137467881,-0.0024689451853434244,-0.008672740584925601,-0.0024689451853434244
hetero_regularized,predicted_mean_residual_rms,0.5,-0.11223090620979911,391,0.23785166240409208,1.0826671750039396,1.0773678138432905,-0.005299361160649058,-0.004894727837878501,-0.004950675489675945,0.0014812135696411132,-0.011463599455984016,0.0014812135696411132
hetero_regularized,predicted_mean_residual_rms,1.0,-0.11223090620979911,391,0.5012787723785166,1.0826671750039396,1.079073714630683,-0.0035934603732565174,-0.0033190812986857586,-0.002260288232052488,0.007984300454457601,-0.01583517727098967,0.007984300454457601
hetero_regularized,predicted_mean_residual_rms,2.0,-0.11223090620979911,391,0.680306905370844,1.0826671750039396,1.0791180844197188,-0.0035490905842207885,-0.00327809936992675,-0.0035517385642453016,-0.0030294434229532876,-0.003953178305374948,-0.0030294434229532876
hetero_regularized,mean_plus_epistemic_rms,0.25,-0.10921222879312377,391,0.12276214833759591,1.0826671750039396,1.0784644966235246,-0.004202678380414958,-0.0038817823957761214,-0.0037831944577834185,0.00022332111994425455,-0.008672740584925601,0.00022332111994425455
hetero_regularized,mean_plus_epistemic_rms,0.5,-0.10921222879312377,391,0.22250639386189258,1.0826671750039396,1.078360592617708,-0.004306582386231483,-0.003977752799437936,-0.0031707823546224053,0.0015078155199686686,-0.011539126069922197,0.0015078155199686686
hetero_regularized,mean_plus_epistemic_rms,1.0,-0.10921222879312377,391,0.4859335038363171,1.0826671750039396,1.0780236335361706,-0.004643541467769067,-0.0042889833320680195,-0.0028713480379786425,0.004559362729390462,-0.0160316737074601,0.004559362729390462
hetero_regularized,mean_plus_epistemic_rms,2.0,-0.10921222879312377,391,0.6624040920716112,1.0826671750039396,1.0757565289507132,-0.006910646053226403,-0.006382982889641275,-0.004773043399482831,-0.005493332544962565,-0.01300231657530132,-0.004773043399482831
hetero_regularized,expected_residual_rms,0.25,-0.0731923938530839,391,0.08439897698209718,1.0826671750039396,1.0810571084242038,-0.0016100665797357974,-0.0014871297633364923,-0.0030826257364782272,0.0009231185913085938,-0.0001843119922437166,0.0009231185913085938
hetero_regularized,expected_residual_rms,0.5,-0.0731923938530839,391,0.17391304347826086,1.0826671750039396,1.0799188222116827,-0.002748352792256933,-0.0025385020029326487,-0.004343118063464963,0.0023792012532552085,-0.003086494144640471,0.0023792012532552085
hetero_regularized,expected_residual_rms,1.0,-0.0731923938530839,391,0.3938618925831202,1.0826671750039396,1.0779335753387198,-0.004733599665219826,-0.004372165125633001,-0.004766277867744411,0.0046421035130818685,-0.012059450776953447,0.0046421035130818685
hetero_regularized,expected_residual_rms,2.0,-0.0731923938530839,391,0.5345268542199488,1.0826671750039396,1.07757561164134,-0.005091563362599639,-0.004702796464279165,-0.0034069000865539273,0.006544362703959147,-0.0181968795625787,0.006544362703959147
mean_mse_shared,epistemic_mean,0.25,0.5963807771351807,391,0.11508951406649616,1.0826671750039396,1.0788157887166114,-0.0038513862873282272,-0.003557313250320176,-0.0028033849880166723,-0.0020232518513997396,-0.00773263228567023,-0.0020232518513997396
