pool_id,candidate_idx,repeats,successes,estimated_q,value,label_varies
pool_26,3,3,1,0.3333333333333333,0.3278735280036926,True
pool_26,4,3,1,0.3333333333333333,0.3286263942718506,True
pool_26,5,3,1,0.3333333333333333,0.3293406665325165,True
pool_26,6,3,0,0.0,0.32907339930534363,False
pool_26,7,3,1,0.3333333333333333,0.3296355605125427,True
pool_27,0,3,0,0.0,0.34766143560409546,False
pool_27,1,3,1,0.3333333333333333,0.34670305252075195,True
pool_27,2,3,0,0.0,0.3479768633842468,False
pool_27,3,3,0,0.0,0.34656792879104614,False
pool_27,4,3,1,0.3333333333333333,0.3467315435409546,True
pool_27,5,3,0,0.0,0.347800076007843,False
pool_27,6,3,0,0.0,0.3477916121482849,False
pool_27,7,3,0,0.0,0.34633535146713257,False
pool_28,0,3,2,0.6666666666666666,0.2557629942893982,True
pool_28,1,3,3,1.0,0.25669801235198975,False
pool_28,2,3,2,0.6666666666666666,0.25453782081604004,True
pool_28,3,3,1,0.3333333333333333,0.2554689645767212,True
pool_28,4,3,3,1.0,0.2558823227882385,False
pool_28,5,3,2,0.6666666666666666,0.25640493631362915,True
pool_28,6,3,2,0.6666666666666666,0.2575576901435852,True
pool_28,7,3,1,0.3333333333333333,0.25512975454330444,True
pool_29,0,3,2,0.6666666666666666,0.37265610694885254,True
pool_29,1,3,0,0.0,0.37198030948638916,False
pool_29,2,3,0,0.0,0.37150490283966064,False
pool_29,3,3,1,0.3333333333333333,0.37357887625694275,True
pool_29,4,3,1,0.3333333333333333,0.37106853723526,True
pool_29,5,3,0,0.0,0.37314242124557495,False
pool_29,6,3,1,0.3333333333333333,0.3726873993873596,True
pool_29,7,3,2,0.6666666666666666,0.3731151819229126,True
pool_30,0,3,3,1.0,0.2658991813659668,False
pool_30,1,3,0,0.0,0.2658054828643799,False
pool_30,2,3,2,0.6666666666666666,0.2662074863910675,True
pool_30,3,3,2,0.6666666666666666,0.26517999172210693,True
pool_30,4,3,1,0.3333333333333333,0.2658992409706116,True
pool_30,5,3,1,0.3333333333333333,0.2662407159805298,True
pool_30,6,3,2,0.6666666666666666,0.266132116317749,True
pool_30,7,3,2,0.6666666666666666,0.26581162214279175,True
pool_31,0,3,2,0.6666666666666666,0.39636993408203125,True
pool_31,1,3,1,0.3333333333333333,0.3956889808177948,True
pool_31,2,3,3,1.0,0.3933846354484558,False
pool_31,3,3,3,1.0,0.39325541257858276,False
pool_31,4,3,1,0.3333333333333333,0.38979572057724,True
pool_31,5,3,2,0.6666666666666666,0.39670330286026,True
pool_31,6,3,0,0.0,0.39189255237579346,False
pool_31,7,3,1,0.3333333333333333,0.39259085059165955,True
pool_32,0,3,1,0.3333333333333333,0.32142573595046997,True
pool_32,1,3,1,0.3333333333333333,0.3208884000778198,True
pool_32,2,3,2,0.6666666666666666,0.320710688829422,True
pool_32,3,3,1,0.3333333333333333,0.32339751720428467,True
pool_32,4,3,2,0.6666666666666666,0.32133549451828003,True
pool_32,5,3,1,0.3333333333333333,0.3202771544456482,True
pool_32,6,3,1,0.3333333333333333,0.32108375430107117,True
pool_32,7,3,2,0.6666666666666666,0.32071906328201294,True
pool_33,0,3,1,0.3333333333333333,0.33279281854629517,True
pool_33,1,3,0,0.0,0.33181232213974,False
pool_33,2,3,3,1.0,0.3366260528564453,False
pool_33,3,3,0,0.0,0.33118635416030884,False
pool_33,4,3,1,0.3333333333333333,0.3342140316963196,True
pool_33,5,3,2,0.6666666666666666,0.33369994163513184,True
pool_33,6,3,0,0.0,0.33010512590408325,False
pool_33,7,3,0,0.0,0.3290278911590576,False
pool_34,0,3,0,0.0,0.3237515091896057,False
pool_34,1,3,1,0.3333333333333333,0.32186800241470337,True
pool_34,2,3,1,0.3333333333333333,0.32312071323394775,True
pool_34,3,3,0,0.0,0.3231627941131592,False
pool_34,4,3,1,0.3333333333333333,0.32223254442214966,True
pool_34,5,3,0,0.0,0.32214802503585815,False
pool_34,6,3,0,0.0,0.32184022665023804,False
pool_34,7,3,1,0.3333333333333333,0.3220441937446594,True
pool_35,0,3,2,0.6666666666666666,0.3332783579826355,True
pool_35,1,3,2,0.6666666666666666,0.33756932616233826,True
pool_35,2,3,2,0.6666666666666666,0.3353581726551056,True
pool_35,3,3,2,0.6666666666666666,0.33030855655670166,True
pool_35,4,3,0,0.0,0.3313674330711365,False
pool_35,5,3,0,0.0,0.330064058303833,False
pool_35,6,3,1,0.3333333333333333,0.33323007822036743,True
pool_35,7,3,2,0.6666666666666666,0.3329694867134094,True
