method,factor,case_id,suite,task_id,init_state_id,rollout_seed,success,final_t,query_count,h16_reference_queries,query_multiplier,requery_count,trigger_rate,max_value_selected_rate,timeout,time_to_success,target_drop_candidate,wrong_object_interaction,official_safety_violation,state_key
maxV-H16,Object,route_transfer_object,libero_object_object,2,45,8250000,True,116,8,8,1.0,0,0.0,1.0,False,116.0,False,False,False,Object|libero_object_object|task2|init45|seed8250000
maxV-H16,Object,route_transfer_object,libero_object_object,2,46,8260000,True,120,8,8,1.0,0,0.0,1.0,False,120.0,False,False,False,Object|libero_object_object|task2|init46|seed8260000
maxV-H16,Object,route_transfer_object,libero_object_object,2,47,8270000,True,118,8,8,1.0,0,0.0,1.0,False,118.0,False,False,False,Object|libero_object_object|task2|init47|seed8270000
maxV-H16,Object,route_transfer_object,libero_object_object,2,48,8280000,True,115,8,8,1.0,0,0.0,1.0,False,115.0,False,False,False,Object|libero_object_object|task2|init48|seed8280000
maxV-H16,Object,route_transfer_object,libero_object_object,2,49,8290000,True,112,7,7,1.0,0,0.0,1.0,False,112.0,False,False,False,Object|libero_object_object|task2|init49|seed8290000
maxV-H16,Object,route_transfer_object,libero_object_object,3,40,8300000,True,124,8,8,1.0,0,0.0,1.0,False,124.0,False,False,False,Object|libero_object_object|task3|init40|seed8300000
maxV-H16,Object,route_transfer_object,libero_object_object,3,41,8310000,True,130,9,9,1.0,0,0.0,1.0,False,130.0,False,False,False,Object|libero_object_object|task3|init41|seed8310000
maxV-H16,Object,route_transfer_object,libero_object_object,3,42,8320000,True,123,8,8,1.0,0,0.0,1.0,False,123.0,False,False,False,Object|libero_object_object|task3|init42|seed8320000
maxV-H16,Object,route_transfer_object,libero_object_object,3,43,8330000,True,154,10,10,1.0,0,0.0,1.0,False,154.0,False,False,False,Object|libero_object_object|task3|init43|seed8330000
maxV-H16,Object,route_transfer_object,libero_object_object,3,44,8340000,True,120,8,8,1.0,0,0.0,1.0,False,120.0,False,False,False,Object|libero_object_object|task3|init44|seed8340000
maxV-H16,Object,route_transfer_object,libero_object_object,3,45,8350000,True,139,9,9,1.0,0,0.0,1.0,False,139.0,False,False,False,Object|libero_object_object|task3|init45|seed8350000
maxV-H16,Object,route_transfer_object,libero_object_object,3,46,8360000,True,123,8,8,1.0,0,0.0,1.0,False,123.0,False,False,False,Object|libero_object_object|task3|init46|seed8360000
maxV-H16,Object,route_transfer_object,libero_object_object,3,47,8370000,True,117,8,8,1.0,0,0.0,1.0,False,117.0,False,False,False,Object|libero_object_object|task3|init47|seed8370000
maxV-H16,Object,route_transfer_object,libero_object_object,3,48,8380000,False,280,18,18,1.0,0,0.0,1.0,True,,True,False,False,Object|libero_object_object|task3|init48|seed8380000
