case_id,suite,task_id,init_state_id,rollout_seed,success_reference,success_replay,reference_id,replay_id,outcome_disagreement,q0_candidate_value_max_abs_diff
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,742619,False,False,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,742716,False,False,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,742813,False,False,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,730000,False,False,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,730097,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,730194,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,730291,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,730388,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,730485,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,730582,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,730679,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,730776,False,False,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,730873,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,730970,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,731067,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,731164,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,731261,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,731358,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,731455,False,False,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,731552,False,False,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,731649,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,731746,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,731843,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,731940,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,732037,False,False,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,732134,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,732231,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,732328,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,732425,False,False,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,732522,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,732619,False,False,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,732716,True,True,max_value,max_value_replay,False,0.0
long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,732813,True,True,max_value,max_value_replay,False,0.0
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,710000,False,False,max_value,max_value_replay,False,0.00018224120140075684
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,710097,True,True,max_value,max_value_replay,False,0.00022333860397338867
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,710194,True,True,max_value,max_value_replay,False,0.000682830810546875
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,710291,True,False,max_value,max_value_replay,True,0.0003553330898284912
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,710388,False,False,max_value,max_value_replay,False,0.0003899037837982178
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,710485,True,True,max_value,max_value_replay,False,0.0005659162998199463
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,710582,False,False,max_value,max_value_replay,False,0.000505298376083374
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,710679,False,False,max_value,max_value_replay,False,0.00019425153732299805
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,710776,False,False,max_value,max_value_replay,False,0.0005714297294616699
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,710873,False,False,max_value,max_value_replay,False,0.0005972981452941895
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,710970,True,True,max_value,max_value_replay,False,0.0004137754440307617
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,711067,False,True,max_value,max_value_replay,True,0.0003097057342529297
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,711164,True,False,max_value,max_value_replay,True,0.00024238228797912598
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,711261,False,False,max_value,max_value_replay,False,0.0004194974899291992
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,711358,True,True,max_value,max_value_replay,False,0.00040140748023986816
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,711455,True,True,max_value,max_value_replay,False,5.894899368286133e-05
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,711552,True,True,max_value,max_value_replay,False,0.00041025876998901367
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,711649,True,True,max_value,max_value_replay,False,0.00025331974029541016
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,711746,False,True,max_value,max_value_replay,True,0.0004996657371520996
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,711843,True,True,max_value,max_value_replay,False,0.00029036402702331543
milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,711940,False,True,max_value,max_value_replay,True,0.0005607306957244873
