case_id,baseline_strategy_id,strategy_id,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_rerank_rate,mean_gate_rate,mean_requery_rate,mean_selected_open_loop_steps
long_mug_task4_init0_adaptive_confirm,max_value,max_value_replay,30,23,23,0.7666666666666667,0.7666666666666667,0.0,0,0,30,1.0,19.133333333333333,19.133333333333333,1.0,1.0,0.0,0.0,0.0,16.0
long_mug_task4_init0_adaptive_confirm,max_value,phase_l1_r0.3,30,23,24,0.7666666666666667,0.8,0.03333333333333333,4,3,23,1.0,19.133333333333333,18.566666666666666,1.0,0.9703832752613241,0.23974025974025975,0.5955266955266956,0.0,16.0
long_mug_task4_init0_adaptive_confirm,max_value,requery_l1_h8,30,23,29,0.7666666666666667,0.9666666666666667,0.2,6,0,24,0.03125,19.133333333333333,18.366666666666667,1.2460328560328557,0.9599303135888502,0.3988236727439514,0.0,0.3988236727439514,12.809410618048389
milk_task5_init0_adaptive_confirm,max_value,action_l1,30,14,18,0.4666666666666667,0.6,0.13333333333333333,10,6,14,0.454498291015625,11.7,10.9,1.0,0.9316239316239318,0.40937830687830695,0.0,0.0,16.0
milk_task5_init0_adaptive_confirm,max_value,action_l1_replay,30,14,18,0.4666666666666667,0.6,0.13333333333333333,10,6,14,0.454498291015625,11.7,10.9,1.0,0.9316239316239318,0.40937830687830695,0.0,0.0,16.0
milk_task5_init0_adaptive_confirm,max_value,max_value_replay,30,14,15,0.4666666666666667,0.5,0.03333333333333333,3,2,25,1.0,11.7,11.433333333333334,1.0,0.9772079772079773,0.0,0.0,0.0,16.0
milk_task5_init0_adaptive_confirm,max_value,phase_l1_r0.3,30,14,18,0.4666666666666667,0.6,0.13333333333333333,10,6,14,0.454498291015625,11.7,10.966666666666667,1.0,0.9373219373219374,0.20314814814814813,0.486441798941799,0.0,16.0
milk_task5_init0_adaptive_confirm,max_value,requery_l1_h8,30,14,11,0.4666666666666667,0.36666666666666664,-0.1,7,10,13,0.629058837890625,11.7,15.333333333333334,1.3021825396825395,1.3105413105413106,0.4319800048592619,0.0,0.4319800048592619,12.544159961125905
spatial_mug_task0_init0_adaptive_confirm,max_value,action_l1,30,22,26,0.7333333333333333,0.8666666666666667,0.13333333333333333,7,3,20,0.34375,9.833333333333334,10.2,1.0,1.0372881355932202,0.4569097569097569,0.0,0.0,16.0
spatial_mug_task0_init0_adaptive_confirm,max_value,action_l1_replay,30,22,26,0.7333333333333333,0.8666666666666667,0.13333333333333333,7,3,20,0.34375,9.833333333333334,10.2,1.0,1.0372881355932202,0.4569097569097569,0.0,0.0,16.0
spatial_mug_task0_init0_adaptive_confirm,max_value,max_value_replay,30,22,22,0.7333333333333333,0.7333333333333333,0.0,0,0,30,1.0,9.833333333333334,9.833333333333334,1.0,1.0,0.0,0.0,0.0,16.0
spatial_mug_task0_init0_adaptive_confirm,max_value,phase_l1_r0.3,30,22,24,0.7333333333333333,0.8,0.06666666666666667,5,3,22,0.7265625,9.833333333333334,9.3,1.0,0.9457627118644067,0.26950549450549455,0.6317155067155067,0.0,16.0
spatial_mug_task0_init0_adaptive_confirm,max_value,requery_l1_h8,30,22,28,0.7333333333333333,0.9333333333333333,0.2,7,1,22,0.0703125,9.833333333333334,8.433333333333334,1.2605050505050501,0.8576271186440678,0.4192861332567215,0.0,0.4192861332567215,12.645710933946228
yellow_task8_init0_adaptive_confirm,max_value,action_l1,30,7,13,0.23333333333333334,0.43333333333333335,0.2,9,3,18,0.14599609375,12.933333333333334,11.8,1.0,0.9123711340206186,0.46587301587301577,0.0,0.0,16.0
yellow_task8_init0_adaptive_confirm,max_value,action_l1_replay,30,7,8,0.23333333333333334,0.26666666666666666,0.03333333333333333,6,5,19,1.0,12.933333333333334,12.8,1.0,0.9896907216494846,0.43650793650793657,0.0,0.0,16.0
yellow_task8_init0_adaptive_confirm,max_value,max_value_replay,30,7,8,0.23333333333333334,0.26666666666666666,0.03333333333333333,2,1,27,1.0,12.933333333333334,12.8,1.0,0.9896907216494846,0.0,0.0,0.0,16.0
yellow_task8_init0_adaptive_confirm,max_value,phase_l1_r0.3,30,7,12,0.23333333333333334,0.4,0.16666666666666666,5,0,25,0.0625,12.933333333333334,12.133333333333333,1.0,0.9381443298969072,0.19587301587301592,0.4306878306878307,0.0,16.0
yellow_task8_init0_adaptive_confirm,max_value,requery_l1_h8,30,7,21,0.23333333333333334,0.7,0.4666666666666667,16,2,12,0.001312255859375,12.933333333333334,12.3,1.2930952380952383,0.9510309278350516,0.447793987345071,0.0,0.447793987345071,12.417648101239438
