source_run,strategy_id,case_id,suite,task_id,init_state_id,rollout_seed,planning_strategy,planning_risk_lambda,planning_difficulty_threshold,planning_value_margin,planning_uncertainty_margin,planning_phase_fraction,planning_short_open_loop_steps,experiment_split,num_open_loop_steps,success,final_t,num_queries,failure_type,target_drop_candidate,wrong_object_interaction_candidate,num_queries_observed,rerank_rate,gate_rate,requery_rate,mean_selected_open_loop_steps,nominal_queries_for_executed_steps,query_compute_ratio
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761067,max_value,0.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,160,10,success,False,False,10,0.0,0.0,0.0,16.0,10.0,1.0
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761164,max_value,0.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,136,9,success,False,False,9,0.0,0.0,0.0,16.0,9.0,1.0
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761261,max_value,0.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,161,11,success,False,False,11,0.0,0.0,0.0,16.0,11.0,1.0
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761358,max_value,0.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,163,11,success,False,False,11,0.0,0.0,0.0,16.0,11.0,1.0
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761455,max_value,0.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,153,10,success,False,False,10,0.0,0.0,0.0,16.0,10.0,1.0
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761552,max_value,0.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,False,320,20,timeout_no_goal,False,False,20,0.0,0.0,0.0,16.0,20.0,1.0
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761649,max_value,0.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,138,9,success,False,False,9,0.0,0.0,0.0,16.0,9.0,1.0
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761746,max_value,0.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,160,10,success,False,False,10,0.0,0.0,0.0,16.0,10.0,1.0
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761843,max_value,0.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,160,10,success,False,False,10,0.0,0.0,0.0,16.0,10.0,1.0
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761940,max_value,0.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,161,11,success,False,False,11,0.0,0.0,0.0,16.0,11.0,1.0
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,762037,max_value,0.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,150,10,success,False,False,10,0.0,0.0,0.0,16.0,10.0,1.0
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,762134,max_value,0.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,138,9,success,False,False,9,0.0,0.0,0.0,16.0,9.0,1.0
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,762231,max_value,0.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,166,11,success,False,False,11,0.0,0.0,0.0,16.0,11.0,1.0
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,762328,max_value,0.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,150,10,success,False,False,10,0.0,0.0,0.0,16.0,10.0,1.0
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,762425,max_value,0.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,152,10,success,False,False,10,0.0,0.0,0.0,16.0,10.0,1.0
