planning_strategy,planning_risk_lambda,suite,task_id,init_state_id,episodes,successes,success_rate,mean_final_t,selected_not_max_value_rate
max_value_disagreement_requery,1.0,libero_object_env,4,3,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,4,3,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,4,4,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,4,4,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,4,5,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,4,5,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,4,6,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,4,6,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,4,7,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,4,7,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,4,8,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,4,8,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,4,9,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,4,9,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,5,0,1,1,1.0,115.0,0.0
max_value_random_requery_43,0.0,libero_object_env,5,0,1,1,1.0,111.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,5,1,1,1,1.0,112.0,0.0
max_value_random_requery_43,0.0,libero_object_env,5,1,1,1,1.0,119.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,5,2,1,1,1.0,248.0,0.0
max_value_random_requery_43,0.0,libero_object_env,5,2,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,5,3,1,1,1.0,111.0,0.0
max_value_random_requery_43,0.0,libero_object_env,5,3,1,1,1.0,192.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,5,4,1,1,1.0,115.0,0.0
max_value_random_requery_43,0.0,libero_object_env,5,4,1,1,1.0,116.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,5,5,1,1,1.0,122.0,0.0
max_value_random_requery_43,0.0,libero_object_env,5,5,1,1,1.0,121.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,5,6,1,1,1.0,134.0,0.0
max_value_random_requery_43,0.0,libero_object_env,5,6,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,5,7,1,1,1.0,119.0,0.0
max_value_random_requery_43,0.0,libero_object_env,5,7,1,1,1.0,116.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,5,8,1,1,1.0,123.0,0.0
max_value_random_requery_43,0.0,libero_object_env,5,8,1,1,1.0,132.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,5,9,1,1,1.0,124.0,0.0
max_value_random_requery_43,0.0,libero_object_env,5,9,1,1,1.0,123.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,6,0,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,6,0,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,6,1,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,6,1,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,6,2,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,6,2,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,6,3,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,6,3,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,6,4,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,6,4,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,6,5,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,6,5,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,6,6,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,6,6,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,6,7,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,6,7,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,6,8,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,6,8,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,6,9,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,6,9,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,7,0,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,7,0,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,7,1,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,7,1,1,0,0.0,280.0,0.0
