quintile,states,mean_effect,mean_score,family,feature_count,target_variant,alpha,scheme,budget
0,128,0.0234375,-0.6739143372193005,relative_control,80,direct_grounded,0.1,leave_one_task,0.1
1,128,-0.09375,-0.3357723570301047,relative_control,80,direct_grounded,0.1,leave_one_task,0.1
2,128,-0.0546875,-0.1431063329376131,relative_control,80,direct_grounded,0.1,leave_one_task,0.1
3,128,0.0,0.08063883347691231,relative_control,80,direct_grounded,0.1,leave_one_task,0.1
4,128,0.015625,0.41715930089491715,relative_control,80,direct_grounded,0.1,leave_one_task,0.1
0,128,0.0234375,-0.6739143372193005,relative_control,80,direct_grounded,0.1,leave_one_task,0.2
1,128,-0.09375,-0.3357723570301047,relative_control,80,direct_grounded,0.1,leave_one_task,0.2
2,128,-0.0546875,-0.1431063329376131,relative_control,80,direct_grounded,0.1,leave_one_task,0.2
3,128,0.0,0.08063883347691231,relative_control,80,direct_grounded,0.1,leave_one_task,0.2
4,128,0.015625,0.41715930089491715,relative_control,80,direct_grounded,0.1,leave_one_task,0.2
0,128,0.0234375,-0.6739143372193005,relative_control,80,direct_grounded,0.1,leave_one_task,0.3
1,128,-0.09375,-0.3357723570301047,relative_control,80,direct_grounded,0.1,leave_one_task,0.3
2,128,-0.0546875,-0.1431063329376131,relative_control,80,direct_grounded,0.1,leave_one_task,0.3
3,128,0.0,0.08063883347691231,relative_control,80,direct_grounded,0.1,leave_one_task,0.3
4,128,0.015625,0.41715930089491715,relative_control,80,direct_grounded,0.1,leave_one_task,0.3
0,128,-0.0078125,-0.6340933643414733,relative_control,80,direct_grounded,1.0,leave_one_task,0.1
1,128,-0.078125,-0.3222297785306852,relative_control,80,direct_grounded,1.0,leave_one_task,0.1
2,128,-0.0546875,-0.13734680094970828,relative_control,80,direct_grounded,1.0,leave_one_task,0.1
3,128,0.0,0.07894518121261766,relative_control,80,direct_grounded,1.0,leave_one_task,0.1
4,128,0.03125,0.3817495711545732,relative_control,80,direct_grounded,1.0,leave_one_task,0.1
0,128,-0.0078125,-0.6340933643414733,relative_control,80,direct_grounded,1.0,leave_one_task,0.2
1,128,-0.078125,-0.3222297785306852,relative_control,80,direct_grounded,1.0,leave_one_task,0.2
2,128,-0.0546875,-0.13734680094970828,relative_control,80,direct_grounded,1.0,leave_one_task,0.2
3,128,0.0,0.07894518121261766,relative_control,80,direct_grounded,1.0,leave_one_task,0.2
4,128,0.03125,0.3817495711545732,relative_control,80,direct_grounded,1.0,leave_one_task,0.2
0,128,-0.0078125,-0.6340933643414733,relative_control,80,direct_grounded,1.0,leave_one_task,0.3
1,128,-0.078125,-0.3222297785306852,relative_control,80,direct_grounded,1.0,leave_one_task,0.3
2,128,-0.0546875,-0.13734680094970828,relative_control,80,direct_grounded,1.0,leave_one_task,0.3
3,128,0.0,0.07894518121261766,relative_control,80,direct_grounded,1.0,leave_one_task,0.3
4,128,0.03125,0.3817495711545732,relative_control,80,direct_grounded,1.0,leave_one_task,0.3
0,128,-0.0546875,-0.5449098547272961,relative_control,80,direct_grounded,10.0,leave_one_task,0.1
1,128,-0.0859375,-0.2841122739919321,relative_control,80,direct_grounded,10.0,leave_one_task,0.1
2,128,-0.03125,-0.10568953863112228,relative_control,80,direct_grounded,10.0,leave_one_task,0.1
3,128,0.046875,0.05823844128491862,relative_control,80,direct_grounded,10.0,leave_one_task,0.1
4,128,0.015625,0.2992097475457182,relative_control,80,direct_grounded,10.0,leave_one_task,0.1
0,128,-0.0546875,-0.5449098547272961,relative_control,80,direct_grounded,10.0,leave_one_task,0.2
1,128,-0.0859375,-0.2841122739919321,relative_control,80,direct_grounded,10.0,leave_one_task,0.2
2,128,-0.03125,-0.10568953863112228,relative_control,80,direct_grounded,10.0,leave_one_task,0.2
3,128,0.046875,0.05823844128491862,relative_control,80,direct_grounded,10.0,leave_one_task,0.2
4,128,0.015625,0.2992097475457182,relative_control,80,direct_grounded,10.0,leave_one_task,0.2
0,128,-0.0546875,-0.5449098547272961,relative_control,80,direct_grounded,10.0,leave_one_task,0.3
1,128,-0.0859375,-0.2841122739919321,relative_control,80,direct_grounded,10.0,leave_one_task,0.3
2,128,-0.03125,-0.10568953863112228,relative_control,80,direct_grounded,10.0,leave_one_task,0.3
3,128,0.046875,0.05823844128491862,relative_control,80,direct_grounded,10.0,leave_one_task,0.3
4,128,0.015625,0.2992097475457182,relative_control,80,direct_grounded,10.0,leave_one_task,0.3
0,128,0.015625,-0.4806425006919806,relative_control,80,ridge_potential_success,0.01,leave_one_task,0.1
1,128,-0.09375,-0.21220519239027147,relative_control,80,ridge_potential_success,0.01,leave_one_task,0.1
2,128,-0.0390625,-0.03943693457666916,relative_control,80,ridge_potential_success,0.01,leave_one_task,0.1
3,128,-0.03125,0.04408974700326793,relative_control,80,ridge_potential_success,0.01,leave_one_task,0.1
4,128,0.0390625,0.3280137596896128,relative_control,80,ridge_potential_success,0.01,leave_one_task,0.1
0,128,0.015625,-0.4806425006919806,relative_control,80,ridge_potential_success,0.01,leave_one_task,0.2
1,128,-0.09375,-0.21220519239027147,relative_control,80,ridge_potential_success,0.01,leave_one_task,0.2
2,128,-0.0390625,-0.03943693457666916,relative_control,80,ridge_potential_success,0.01,leave_one_task,0.2
3,128,-0.03125,0.04408974700326793,relative_control,80,ridge_potential_success,0.01,leave_one_task,0.2
4,128,0.0390625,0.3280137596896128,relative_control,80,ridge_potential_success,0.01,leave_one_task,0.2
0,128,0.015625,-0.4806425006919806,relative_control,80,ridge_potential_success,0.01,leave_one_task,0.3
1,128,-0.09375,-0.21220519239027147,relative_control,80,ridge_potential_success,0.01,leave_one_task,0.3
2,128,-0.0390625,-0.03943693457666916,relative_control,80,ridge_potential_success,0.01,leave_one_task,0.3
3,128,-0.03125,0.04408974700326793,relative_control,80,ridge_potential_success,0.01,leave_one_task,0.3
4,128,0.0390625,0.3280137596896128,relative_control,80,ridge_potential_success,0.01,leave_one_task,0.3
0,128,0.0078125,-0.47470478302450625,relative_control,80,ridge_potential_success,0.1,leave_one_task,0.1
1,128,-0.1484375,-0.2185242629084714,relative_control,80,ridge_potential_success,0.1,leave_one_task,0.1
2,128,0.03125,-0.046747520711622546,relative_control,80,ridge_potential_success,0.1,leave_one_task,0.1
3,128,-0.0234375,0.04512121928144975,relative_control,80,ridge_potential_success,0.1,leave_one_task,0.1
4,128,0.0234375,0.3190982069547717,relative_control,80,ridge_potential_success,0.1,leave_one_task,0.1
0,128,0.0078125,-0.47470478302450625,relative_control,80,ridge_potential_success,0.1,leave_one_task,0.2
1,128,-0.1484375,-0.2185242629084714,relative_control,80,ridge_potential_success,0.1,leave_one_task,0.2
2,128,0.03125,-0.046747520711622546,relative_control,80,ridge_potential_success,0.1,leave_one_task,0.2
3,128,-0.0234375,0.04512121928144975,relative_control,80,ridge_potential_success,0.1,leave_one_task,0.2
4,128,0.0234375,0.3190982069547717,relative_control,80,ridge_potential_success,0.1,leave_one_task,0.2
0,128,0.0078125,-0.47470478302450625,relative_control,80,ridge_potential_success,0.1,leave_one_task,0.3
1,128,-0.1484375,-0.2185242629084714,relative_control,80,ridge_potential_success,0.1,leave_one_task,0.3
2,128,0.03125,-0.046747520711622546,relative_control,80,ridge_potential_success,0.1,leave_one_task,0.3
3,128,-0.0234375,0.04512121928144975,relative_control,80,ridge_potential_success,0.1,leave_one_task,0.3
4,128,0.0234375,0.3190982069547717,relative_control,80,ridge_potential_success,0.1,leave_one_task,0.3
0,128,-0.046875,-0.4439813962384094,relative_control,80,ridge_potential_success,1.0,leave_one_task,0.1
1,128,-0.0859375,-0.21263661115569274,relative_control,80,ridge_potential_success,1.0,leave_one_task,0.1
2,128,0.0234375,-0.043528766839301895,relative_control,80,ridge_potential_success,1.0,leave_one_task,0.1
3,128,-0.015625,0.051024065579639934,relative_control,80,ridge_potential_success,1.0,leave_one_task,0.1
4,128,0.015625,0.29995572202285187,relative_control,80,ridge_potential_success,1.0,leave_one_task,0.1
0,128,-0.046875,-0.4439813962384094,relative_control,80,ridge_potential_success,1.0,leave_one_task,0.2
1,128,-0.0859375,-0.21263661115569274,relative_control,80,ridge_potential_success,1.0,leave_one_task,0.2
2,128,0.0234375,-0.043528766839301895,relative_control,80,ridge_potential_success,1.0,leave_one_task,0.2
3,128,-0.015625,0.051024065579639934,relative_control,80,ridge_potential_success,1.0,leave_one_task,0.2
4,128,0.015625,0.29995572202285187,relative_control,80,ridge_potential_success,1.0,leave_one_task,0.2
0,128,-0.046875,-0.4439813962384094,relative_control,80,ridge_potential_success,1.0,leave_one_task,0.3
1,128,-0.0859375,-0.21263661115569274,relative_control,80,ridge_potential_success,1.0,leave_one_task,0.3
2,128,0.0234375,-0.043528766839301895,relative_control,80,ridge_potential_success,1.0,leave_one_task,0.3
3,128,-0.015625,0.051024065579639934,relative_control,80,ridge_potential_success,1.0,leave_one_task,0.3
4,128,0.015625,0.29995572202285187,relative_control,80,ridge_potential_success,1.0,leave_one_task,0.3
0,128,-0.15625,-0.3846844106188872,relative_control,80,ridge_potential_success,10.0,leave_one_task,0.1
1,128,-0.03125,-0.1833036872745671,relative_control,80,ridge_potential_success,10.0,leave_one_task,0.1
2,128,0.03125,-0.03626480248119857,relative_control,80,ridge_potential_success,10.0,leave_one_task,0.1
3,128,0.0,0.05674777568034915,relative_control,80,ridge_potential_success,10.0,leave_one_task,0.1
4,128,0.046875,0.2712151949153567,relative_control,80,ridge_potential_success,10.0,leave_one_task,0.1
0,128,-0.15625,-0.3846844106188872,relative_control,80,ridge_potential_success,10.0,leave_one_task,0.2
1,128,-0.03125,-0.1833036872745671,relative_control,80,ridge_potential_success,10.0,leave_one_task,0.2
2,128,0.03125,-0.03626480248119857,relative_control,80,ridge_potential_success,10.0,leave_one_task,0.2
3,128,0.0,0.05674777568034915,relative_control,80,ridge_potential_success,10.0,leave_one_task,0.2
4,128,0.046875,0.2712151949153567,relative_control,80,ridge_potential_success,10.0,leave_one_task,0.2
0,128,-0.15625,-0.3846844106188872,relative_control,80,ridge_potential_success,10.0,leave_one_task,0.3
1,128,-0.03125,-0.1833036872745671,relative_control,80,ridge_potential_success,10.0,leave_one_task,0.3
2,128,0.03125,-0.03626480248119857,relative_control,80,ridge_potential_success,10.0,leave_one_task,0.3
3,128,0.0,0.05674777568034915,relative_control,80,ridge_potential_success,10.0,leave_one_task,0.3
4,128,0.046875,0.2712151949153567,relative_control,80,ridge_potential_success,10.0,leave_one_task,0.3
0,128,0.046875,-0.6199052536467043,relative_control,80,direct_success,0.01,leave_one_level,0.1
1,128,-0.015625,-0.19414202877523354,relative_control,80,direct_success,0.01,leave_one_level,0.1
2,128,0.03125,0.03257045199993732,relative_control,80,direct_success,0.01,leave_one_level,0.1
3,128,-0.0859375,0.2256100193555269,relative_control,80,direct_success,0.01,leave_one_level,0.1
4,128,-0.0859375,0.550225739725006,relative_control,80,direct_success,0.01,leave_one_level,0.1
0,128,0.046875,-0.6199052536467043,relative_control,80,direct_success,0.01,leave_one_level,0.2
1,128,-0.015625,-0.19414202877523354,relative_control,80,direct_success,0.01,leave_one_level,0.2
2,128,0.03125,0.03257045199993732,relative_control,80,direct_success,0.01,leave_one_level,0.2
3,128,-0.0859375,0.2256100193555269,relative_control,80,direct_success,0.01,leave_one_level,0.2
4,128,-0.0859375,0.550225739725006,relative_control,80,direct_success,0.01,leave_one_level,0.2
0,128,0.046875,-0.6199052536467043,relative_control,80,direct_success,0.01,leave_one_level,0.3
1,128,-0.015625,-0.19414202877523354,relative_control,80,direct_success,0.01,leave_one_level,0.3
2,128,0.03125,0.03257045199993732,relative_control,80,direct_success,0.01,leave_one_level,0.3
3,128,-0.0859375,0.2256100193555269,relative_control,80,direct_success,0.01,leave_one_level,0.3
4,128,-0.0859375,0.550225739725006,relative_control,80,direct_success,0.01,leave_one_level,0.3
0,128,0.046875,-0.5971064291172264,relative_control,80,direct_success,0.1,leave_one_level,0.1
1,128,0.0078125,-0.1958960052880617,relative_control,80,direct_success,0.1,leave_one_level,0.1
2,128,0.0,0.016813072441597264,relative_control,80,direct_success,0.1,leave_one_level,0.1
3,128,-0.078125,0.20627060446883647,relative_control,80,direct_success,0.1,leave_one_level,0.1
4,128,-0.0859375,0.531087503392251,relative_control,80,direct_success,0.1,leave_one_level,0.1
0,128,0.046875,-0.5971064291172264,relative_control,80,direct_success,0.1,leave_one_level,0.2
1,128,0.0078125,-0.1958960052880617,relative_control,80,direct_success,0.1,leave_one_level,0.2
2,128,0.0,0.016813072441597264,relative_control,80,direct_success,0.1,leave_one_level,0.2
