family,feature_count,target_variant,alpha,scheme,budget,query_rate,raw_gain,adjusted_gain,rescues,harms,rescue_vs_harm_auc,effect_spearman,worst_cell_adjusted_gain,quintile_monotonic_rho,quintile_top_minus_bottom
relative_control,80,ridge_potential_success,10.0,leave_one_level,0.2,0.2,-0.0203125,-0.025312499999999995,11,24,0.4014627659574468,-0.08422754657816144,-0.26374999999999993,-0.7,-0.171875
relative_control,80,ridge_potential_success,10.0,leave_one_level,0.3,0.3,-0.025,-0.03249999999999999,19,35,0.4014627659574468,-0.08422754657816144,-0.3168749999999999,-0.7,-0.171875
relative_control,80,direct_success,0.01,leave_one_cell,0.1,0.1,0.0046875,0.0021875000000000015,7,4,0.45252659574468085,-0.02843750586881952,-0.053749999999999985,-0.3,-0.03125
relative_control,80,direct_success,0.01,leave_one_cell,0.2,0.2,0.003125,-0.001874999999999997,13,11,0.45252659574468085,-0.02843750586881952,-0.105625,-0.3,-0.03125
relative_control,80,direct_success,0.01,leave_one_cell,0.3,0.3,-0.009375,-0.016874999999999994,18,24,0.45252659574468085,-0.02843750586881952,-0.18562499999999998,-0.3,-0.03125
relative_control,80,direct_success,0.1,leave_one_cell,0.1,0.1,0.0046875,0.002187500000000001,7,4,0.4550531914893617,-0.026153815796376916,-0.028125,-0.49999999999999994,-0.046875
relative_control,80,direct_success,0.1,leave_one_cell,0.2,0.2,0.0015625,-0.0034374999999999974,13,12,0.4550531914893617,-0.026153815796376916,-0.105625,-0.49999999999999994,-0.046875
relative_control,80,direct_success,0.1,leave_one_cell,0.3,0.3,-0.0078125,-0.015312499999999996,17,22,0.4550531914893617,-0.026153815796376916,-0.16062499999999996,-0.49999999999999994,-0.046875
relative_control,80,direct_success,1.0,leave_one_cell,0.1,0.1,0.0046875,0.002187500000000001,7,4,0.4613031914893617,-0.023043463591974782,-0.028124999999999994,-0.3,-0.015625
relative_control,80,direct_success,1.0,leave_one_cell,0.2,0.2,0.003125,-0.0018749999999999975,14,12,0.4613031914893617,-0.023043463591974782,-0.10499999999999998,-0.3,-0.015625
relative_control,80,direct_success,1.0,leave_one_cell,0.3,0.3,-0.0109375,-0.018437499999999996,17,24,0.4613031914893617,-0.023043463591974782,-0.13874999999999998,-0.3,-0.015625
relative_control,80,direct_success,10.0,leave_one_cell,0.1,0.1,0.0078125,0.0053125,9,4,0.49601063829787234,0.008354502937200558,-0.028124999999999994,0.20519567041703082,0.0390625
relative_control,80,direct_success,10.0,leave_one_cell,0.2,0.2,0.003125,-0.0018749999999999982,13,11,0.49601063829787234,0.008354502937200558,-0.08062499999999999,0.20519567041703082,0.0390625
relative_control,80,direct_success,10.0,leave_one_cell,0.3,0.3,-0.0125,-0.019999999999999997,17,25,0.49601063829787234,0.008354502937200558,-0.138125,0.20519567041703082,0.0390625
relative_control,80,direct_terminal_utility,0.01,leave_one_cell,0.1,0.1,0.00625,0.0037500000000000007,8,4,0.4253989361702128,-0.05682860695824936,-0.053749999999999985,-0.3,-0.0703125
relative_control,80,direct_terminal_utility,0.01,leave_one_cell,0.2,0.2,0.0,-0.004999999999999998,13,13,0.4253989361702128,-0.05682860695824936,-0.10624999999999998,-0.3,-0.0703125
relative_control,80,direct_terminal_utility,0.01,leave_one_cell,0.3,0.3,-0.0171875,-0.02468749999999999,18,29,0.4253989361702128,-0.05682860695824936,-0.21125,-0.3,-0.0703125
relative_control,80,direct_terminal_utility,0.1,leave_one_cell,0.1,0.1,0.0078125,0.0053125,8,3,0.4320478723404255,-0.053114171298252355,-0.028125,-0.49999999999999994,-0.1015625
relative_control,80,direct_terminal_utility,0.1,leave_one_cell,0.2,0.2,-0.0046875,-0.009687499999999998,13,16,0.4320478723404255,-0.053114171298252355,-0.105625,-0.49999999999999994,-0.1015625
relative_control,80,direct_terminal_utility,0.1,leave_one_cell,0.3,0.3,-0.015625,-0.02312499999999999,18,28,0.4320478723404255,-0.053114171298252355,-0.21062499999999998,-0.49999999999999994,-0.1015625
relative_control,80,direct_terminal_utility,1.0,leave_one_cell,0.1,0.1,0.00625,0.0037500000000000007,8,4,0.43470744680851064,-0.04975865402043748,-0.027499999999999997,-0.49999999999999994,-0.0703125
relative_control,80,direct_terminal_utility,1.0,leave_one_cell,0.2,0.2,-0.0046875,-0.009687499999999998,14,17,0.43470744680851064,-0.04975865402043748,-0.10499999999999998,-0.49999999999999994,-0.0703125
