factor,feature,advantage_coefficient_mean,advantage_coefficient_std,risk_coefficient_mean,risk_coefficient_std,advantage_abs_rank,risk_abs_rank
Object,candidate_action_mean_d2,0.027222360589122956,0.03185657820277987,-0.007187128074705779,0.010332287450307365,22.0,18.0
Object,candidate_action_mean_d3,0.016310905050230973,0.023348237471715903,-0.010766058446550403,0.005908540623139312,29.0,9.0
Object,candidate_action_mean_d4,-0.042273414776962566,0.025065032598443025,0.009477921175350214,0.007003989670797727,7.0,10.0
Object,candidate_action_mean_d5,-0.004058951691027139,0.04100191057295684,-0.006956218608374017,0.011065969934542699,40.0,20.0
Object,candidate_action_mean_d6,0.02780758725587324,0.04147215685856387,-0.006807996949934687,0.014911014427776736,20.0,21.0
Object,candidate_action_std_d0,-0.11680362710871309,0.0546921779191176,0.029622110524785302,0.012981885406545627,1.0,1.0
Object,candidate_action_std_d1,-0.04555933055033365,0.03969741380005228,0.0045271221322048345,0.009399908042587536,6.0,31.0
Object,candidate_action_std_d2,-0.030198796994305027,0.028205222376699993,0.007906000136816856,0.008981844419983079,17.0,16.0
Object,candidate_action_std_d3,-0.021511619754233997,0.028911182303507324,0.008976726112650046,0.007630713025425553,24.0,12.0
Object,candidate_action_std_d4,-0.003708565316147953,0.01866056708674576,-0.002903762864247367,0.005488340717617978,41.0,39.0
Object,candidate_action_std_d5,-0.003368939545562553,0.03135761961934458,-0.0025218076933547513,0.006717423451936651,43.0,44.0
Object,candidate_action_std_d6,-0.028831228839393784,0.019895924498827794,0.005944784107374378,0.004723470051792841,19.0,24.0
Object,candidate_action_consensus_first,-0.009845177313894116,0.024102146729918,0.0005521928475794411,0.006958848906712461,32.0,48.0
Object,candidate_action_consensus_chunk,0.010747263392859295,0.026796767023087725,-0.002743857675588066,0.005264146858144125,31.0,40.0
Object,candidate_predicted_future_proprio_d0,0.03437889712486781,0.027769189802390907,-0.004040935597792658,0.006604595131777915,12.0,32.0
Object,candidate_predicted_future_proprio_d1,0.0330355147351306,0.028516192526562487,-0.003457214679714881,0.006211843667991444,13.0,35.0
Object,candidate_predicted_future_proprio_d2,-0.03481569584621598,0.03515487439141034,0.008972819892859628,0.009856481270733143,11.0,13.0
Object,candidate_predicted_future_proprio_d3,0.030959209158556537,0.02730337574475804,-0.0016909065756687451,0.012075804668340049,15.0,45.0
Object,candidate_predicted_future_proprio_d4,0.009566541644310178,0.03624809395659605,0.003052334557127813,0.006458314751022523,34.0,37.0
Object,candidate_predicted_future_proprio_d5,-0.0074275432787496865,0.022470592813263607,0.00586003933334925,0.0077208339144172475,38.0,25.0
Object,candidate_predicted_future_proprio_d6,-0.06430608912985358,0.04903656304785154,0.02086678988966266,0.01135203307163652,3.0,3.0
Object,candidate_predicted_future_proprio_d7,-0.02776613762555668,0.022636236744527794,0.0004002581865400932,0.00815015073383443,21.0,50.0
Object,candidate_predicted_future_proprio_d8,-0.003518158124222461,0.027131260119564418,-0.005509954556576527,0.007881022302902656,42.0,26.0
