suite,task_id,init_state_id,rollout_seed,reference,method,compared_candidates,same_candidate_count,sim_state_max_abs_delta,action_max_abs_delta,value_max_abs_delta,stage
libero_object_object,0,34,16440000,consensus_medoid_only,first,1,False,0.0,0.0024300813674926758,3.936886787414551e-05,exact_development
libero_object_object,0,35,16450000,consensus_medoid_only,first,1,False,0.0,0.0031114518642425537,0.00014066696166992188,exact_development
libero_object_object,0,36,16460000,consensus_medoid_only,first,1,False,0.0,0.005303740501403809,4.455447196960449e-05,exact_development
libero_object_object,0,37,16470000,consensus_medoid_only,first,1,False,0.0,0.002507030963897705,0.00021710991859436035,exact_development
libero_object_object,0,38,16480000,consensus_medoid_only,first,1,False,0.0,0.003186464309692383,6.347894668579102e-05,exact_development
libero_object_object,0,39,16490000,consensus_medoid_only,first,1,False,0.0,0.001813441514968872,0.00021216273307800293,exact_development
libero_object_object,0,0,16100000,consensus_medoid_only,max_value,3,True,0.0,0.0031850039958953857,9.059906005859375e-05,exact_development
libero_object_object,0,1,16110000,consensus_medoid_only,max_value,3,True,0.0,0.004479169845581055,0.00010579824447631836,exact_development
libero_object_object,0,2,16120000,consensus_medoid_only,max_value,3,True,0.0,0.011418849229812622,0.0004940927028656006,exact_development
libero_object_object,0,3,16130000,consensus_medoid_only,max_value,3,True,0.0,0.003054589033126831,1.8835067749023438e-05,exact_development
libero_object_object,0,4,16140000,consensus_medoid_only,max_value,3,True,0.0,0.007585048675537109,0.0003279745578765869,exact_development
libero_object_object,0,5,16150000,consensus_medoid_only,max_value,3,True,0.0,0.010218322277069092,0.0026374459266662598,exact_development
libero_object_object,0,6,16160000,consensus_medoid_only,max_value,3,True,0.0,0.0024619102478027344,0.00018262863159179688,exact_development
libero_object_object,0,7,16170000,consensus_medoid_only,max_value,3,True,0.0,0.0030404329299926758,7.799267768859863e-05,exact_development
libero_object_object,0,8,16180000,consensus_medoid_only,max_value,3,True,0.0,0.0028714537620544434,0.00024884939193725586,exact_development
libero_object_object,0,9,16190000,consensus_medoid_only,max_value,3,True,0.0,0.004702121019363403,0.00012949109077453613,exact_development
libero_object_object,0,10,16200000,consensus_medoid_only,max_value,3,True,0.0,0.0034957528114318848,0.00010603666305541992,exact_development
libero_object_object,0,11,16210000,consensus_medoid_only,max_value,3,True,0.0,0.009954184293746948,0.000490725040435791,exact_development
libero_object_object,0,12,16220000,consensus_medoid_only,max_value,3,True,0.0,0.004840731620788574,0.0001741349697113037,exact_development
libero_object_object,0,13,16230000,consensus_medoid_only,max_value,3,True,0.0,0.006239652633666992,0.0001321732997894287,exact_development
libero_object_object,0,14,16240000,consensus_medoid_only,max_value,3,True,0.0,0.00345669686794281,0.0001436471939086914,exact_development
libero_object_object,0,15,16250000,consensus_medoid_only,max_value,3,True,0.0,0.005241215229034424,0.00016611814498901367,exact_development
libero_object_object,0,16,16260000,consensus_medoid_only,max_value,3,True,0.0,0.004507958889007568,0.0004120171070098877,exact_development
libero_object_object,0,17,16270000,consensus_medoid_only,max_value,3,True,0.0,0.0030948668718338013,8.815526962280273e-05,exact_development
libero_object_object,0,18,16280000,consensus_medoid_only,max_value,3,True,0.0,0.0026063770055770874,0.00019350647926330566,exact_development
libero_object_object,0,19,16290000,consensus_medoid_only,max_value,3,True,0.0,0.0028007254004478455,0.0001590251922607422,exact_development
libero_object_object,0,20,16300000,consensus_medoid_only,max_value,3,True,0.0,0.0036719441413879395,8.133053779602051e-05,exact_development
libero_object_object,0,21,16310000,consensus_medoid_only,max_value,3,True,0.0,0.0032728612422943115,0.0001232624053955078,exact_development
libero_object_object,0,22,16320000,consensus_medoid_only,max_value,3,True,0.0,0.004302263259887695,0.0006460249423980713,exact_development
libero_object_object,0,23,16330000,consensus_medoid_only,max_value,3,True,0.0,0.0038240551948547363,0.00012892484664916992,exact_development
libero_object_object,0,24,16340000,consensus_medoid_only,max_value,3,True,0.0,0.0039164721965789795,0.000779271125793457,exact_development
libero_object_object,0,25,16350000,consensus_medoid_only,max_value,3,True,0.0,0.0027886033058166504,7.793307304382324e-05,exact_development
libero_object_object,0,26,16360000,consensus_medoid_only,max_value,3,True,0.0,0.00785401463508606,0.00019502639770507812,exact_development
libero_object_object,0,27,16370000,consensus_medoid_only,max_value,3,True,0.0,0.005471646785736084,0.0008440017700195312,exact_development
libero_object_object,0,28,16380000,consensus_medoid_only,max_value,3,True,0.0,0.00523221492767334,0.00013720989227294922,exact_development
libero_object_object,0,29,16390000,consensus_medoid_only,max_value,3,True,0.0,0.0031405091285705566,0.0002872049808502197,exact_development
libero_object_object,0,30,16400000,consensus_medoid_only,max_value,3,True,0.0,0.0035521388053894043,0.0004908740520477295,exact_development
libero_object_object,0,31,16410000,consensus_medoid_only,max_value,3,True,0.0,0.012560561299324036,0.0006677806377410889,exact_development
libero_object_object,0,32,16420000,consensus_medoid_only,max_value,3,True,0.0,0.0025800615549087524,0.00014266371726989746,exact_development
libero_object_object,0,33,16430000,consensus_medoid_only,max_value,3,True,0.0,0.00747072696685791,0.00033041834831237793,exact_development
libero_object_object,0,34,16440000,consensus_medoid_only,max_value,3,True,0.0,0.010121643543243408,0.00014448165893554688,exact_development
libero_object_object,0,35,16450000,consensus_medoid_only,max_value,3,True,0.0,0.0031114518642425537,0.00015231966972351074,exact_development
libero_object_object,0,36,16460000,consensus_medoid_only,max_value,3,True,0.0,0.006333708763122559,5.081295967102051e-05,exact_development
