planning_strategy,planning_risk_lambda,suite,task_id,init_state_id,episodes,successes,success_rate,mean_final_t,selected_not_max_value_rate
max_value_random_requery_43,0.0,libero_object_object,5,4,1,1,1.0,111.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,5,5,1,1,1.0,131.0,0.0
max_value_random_requery_43,0.0,libero_object_object,5,5,1,1,1.0,137.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,5,6,1,1,1.0,119.0,0.0
max_value_random_requery_43,0.0,libero_object_object,5,6,1,1,1.0,119.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,5,7,1,1,1.0,117.0,0.0
max_value_random_requery_43,0.0,libero_object_object,5,7,1,1,1.0,121.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,5,8,1,1,1.0,126.0,0.0
max_value_random_requery_43,0.0,libero_object_object,5,8,1,1,1.0,115.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,5,9,1,1,1.0,133.0,0.0
max_value_random_requery_43,0.0,libero_object_object,5,9,1,1,1.0,129.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,6,0,1,1,1.0,142.0,0.0
max_value_random_requery_43,0.0,libero_object_object,6,0,1,1,1.0,155.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,6,1,1,1,1.0,137.0,0.0
max_value_random_requery_43,0.0,libero_object_object,6,1,1,1,1.0,152.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,6,2,1,1,1.0,145.0,0.0
max_value_random_requery_43,0.0,libero_object_object,6,2,1,1,1.0,149.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,6,3,1,1,1.0,143.0,0.0
max_value_random_requery_43,0.0,libero_object_object,6,3,1,1,1.0,144.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,6,4,1,1,1.0,151.0,0.0
max_value_random_requery_43,0.0,libero_object_object,6,4,1,1,1.0,149.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,6,5,1,1,1.0,151.0,0.0
max_value_random_requery_43,0.0,libero_object_object,6,5,1,1,1.0,143.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,6,6,1,1,1.0,145.0,0.0
max_value_random_requery_43,0.0,libero_object_object,6,6,1,1,1.0,145.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,6,7,1,1,1.0,144.0,0.0
max_value_random_requery_43,0.0,libero_object_object,6,7,1,1,1.0,148.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,6,8,1,1,1.0,143.0,0.0
max_value_random_requery_43,0.0,libero_object_object,6,8,1,1,1.0,145.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,6,9,1,1,1.0,157.0,0.0
max_value_random_requery_43,0.0,libero_object_object,6,9,1,1,1.0,145.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,7,0,1,1,1.0,133.0,0.0
max_value_random_requery_43,0.0,libero_object_object,7,0,1,1,1.0,130.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,7,1,1,1,1.0,136.0,0.0
max_value_random_requery_43,0.0,libero_object_object,7,1,1,1,1.0,131.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,7,2,1,1,1.0,120.0,0.0
max_value_random_requery_43,0.0,libero_object_object,7,2,1,1,1.0,127.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,7,3,1,1,1.0,125.0,0.0
max_value_random_requery_43,0.0,libero_object_object,7,3,1,1,1.0,125.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,7,4,1,1,1.0,165.0,0.0
max_value_random_requery_43,0.0,libero_object_object,7,4,1,1,1.0,187.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,7,5,1,1,1.0,133.0,0.0
max_value_random_requery_43,0.0,libero_object_object,7,5,1,1,1.0,123.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,7,6,1,1,1.0,132.0,0.0
max_value_random_requery_43,0.0,libero_object_object,7,6,1,1,1.0,134.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,7,7,1,1,1.0,127.0,0.0
max_value_random_requery_43,0.0,libero_object_object,7,7,1,1,1.0,131.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,7,8,1,1,1.0,124.0,0.0
max_value_random_requery_43,0.0,libero_object_object,7,8,1,1,1.0,127.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,7,9,1,1,1.0,126.0,0.0
max_value_random_requery_43,0.0,libero_object_object,7,9,1,1,1.0,122.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,8,0,1,1,1.0,142.0,0.0
max_value_random_requery_43,0.0,libero_object_object,8,0,1,1,1.0,151.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,8,1,1,1,1.0,152.0,0.0
max_value_random_requery_43,0.0,libero_object_object,8,1,1,1,1.0,152.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,8,2,1,1,1.0,148.0,0.0
max_value_random_requery_43,0.0,libero_object_object,8,2,1,1,1.0,142.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,8,3,1,1,1.0,144.0,0.0
max_value_random_requery_43,0.0,libero_object_object,8,3,1,1,1.0,148.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,8,4,1,1,1.0,152.0,0.0
max_value_random_requery_43,0.0,libero_object_object,8,4,1,1,1.0,152.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,8,5,1,1,1.0,149.0,0.0
max_value_random_requery_43,0.0,libero_object_object,8,5,1,1,1.0,145.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,8,6,1,1,1.0,139.0,0.0
max_value_random_requery_43,0.0,libero_object_object,8,6,1,1,1.0,145.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,8,7,1,1,1.0,159.0,0.0
max_value_random_requery_43,0.0,libero_object_object,8,7,1,1,1.0,143.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,8,8,1,1,1.0,143.0,0.0
max_value_random_requery_43,0.0,libero_object_object,8,8,1,1,1.0,143.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,8,9,1,1,1.0,143.0,0.0
max_value_random_requery_43,0.0,libero_object_object,8,9,1,1,1.0,144.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,9,0,1,1,1.0,129.0,0.0
max_value_random_requery_43,0.0,libero_object_object,9,0,1,1,1.0,120.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,9,1,1,1,1.0,108.0,0.0
max_value_random_requery_43,0.0,libero_object_object,9,1,1,1,1.0,104.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,9,2,1,1,1.0,121.0,0.0
max_value_random_requery_43,0.0,libero_object_object,9,2,1,1,1.0,128.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,9,3,1,1,1.0,102.0,0.0
max_value_random_requery_43,0.0,libero_object_object,9,3,1,1,1.0,105.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,9,4,1,1,1.0,129.0,0.0
max_value_random_requery_43,0.0,libero_object_object,9,4,1,1,1.0,132.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,9,5,1,1,1.0,127.0,0.0
max_value_random_requery_43,0.0,libero_object_object,9,5,1,1,1.0,125.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,9,6,1,1,1.0,116.0,0.0
max_value_random_requery_43,0.0,libero_object_object,9,6,1,1,1.0,120.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,9,7,1,1,1.0,125.0,0.0
max_value_random_requery_43,0.0,libero_object_object,9,7,1,1,1.0,119.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,9,8,1,1,1.0,121.0,0.0
max_value_random_requery_43,0.0,libero_object_object,9,8,1,1,1.0,120.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,9,9,1,1,1.0,132.0,0.0
max_value_random_requery_43,0.0,libero_object_object,9,9,1,1,1.0,129.0,0.0
