case_id,baseline_strategy_id,strategy_id,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_rerank_rate,mean_gate_rate,mean_requery_rate,mean_surrogate_alarm_rate,mean_selected_open_loop_steps
milk_task5_init0_factorial,action_l1,max_value,24,10,10,0.4166666666666667,0.4166666666666667,0.0,2,2,20,1.0,11.791666666666666,11.833333333333334,1.0,1.0035335689045937,0.0,0.0,0.0,0.2922619047619048,16.0
milk_task5_init0_factorial,action_l1,requery_l1_h8,24,10,8,0.4166666666666667,0.3333333333333333,-0.08333333333333333,6,8,10,0.79052734375,11.791666666666666,15.625,1.2938161375661377,1.325088339222615,0.4346075539670741,0.0,0.4346075539670741,0.23773063577146392,12.523139568263408
new_ood_spatial_swap_task8_init0_factorial,action_l1,horizon_only_l1_h8,24,1,7,0.041666666666666664,0.2916666666666667,0.25,6,0,18,0.03125,13.958333333333334,17.041666666666668,1.306069624819625,1.2208955223880598,0.0,0.0,0.43937908532529274,0.297098076466304,12.48496731739766
new_ood_spatial_swap_task8_init0_factorial,action_l1,max_value,24,1,0,0.041666666666666664,0.0,-0.041666666666666664,0,1,23,1.0,13.958333333333334,14.0,1.0,1.0029850746268656,0.0,0.0,0.0,0.2648809523809524,16.0
new_ood_spatial_swap_task8_init0_factorial,action_l1,requery_l1_h8,24,1,10,0.041666666666666664,0.4166666666666667,0.375,10,1,13,0.01171875,13.958333333333334,16.041666666666668,1.299083092833093,1.1492537313432836,0.4485038883258698,0.0,0.4485038883258697,0.276559168707969,12.411968893393043
spatial_mug_task0_init0_factorial,action_l1,horizon_only_l1_h8,24,13,23,0.5416666666666666,0.9583333333333334,0.4166666666666667,10,0,14,0.001953125,10.583333333333334,7.666666666666667,1.2958333333333334,0.7244094488188976,0.0,0.0,0.4613095238095238,0.15269510582010581,12.30952380952381
spatial_mug_task0_init0_factorial,action_l1,max_value,24,13,18,0.5416666666666666,0.75,0.20833333333333334,9,4,11,0.266845703125,10.583333333333334,8.583333333333334,1.0,0.8110236220472441,0.0,0.0,0.0,0.2577075702075702,16.0
spatial_mug_task0_init0_factorial,action_l1,requery_l1_h8,24,13,21,0.5416666666666666,0.875,0.3333333333333333,10,2,12,0.03857421875,10.583333333333334,9.0,1.3073412698412696,0.8503937007874015,0.4662322677609055,0.0,0.4662322677609055,0.22904107183809197,12.270141857912757
yellow_task8_init0_factorial,action_l1,horizon_only_l1_h8,24,11,16,0.4583333333333333,0.6666666666666666,0.20833333333333334,6,1,17,0.125,11.875,12.75,1.265112433862434,1.0736842105263158,0.0,0.0,0.4132988814877359,0.21655161001136233,12.693608948098111
yellow_task8_init0_factorial,action_l1,max_value,24,11,11,0.4583333333333333,0.4583333333333333,0.0,3,3,18,1.0,11.875,12.083333333333334,1.0,1.0175438596491229,0.0,0.0,0.0,0.32718253968253963,16.0
yellow_task8_init0_factorial,action_l1,requery_l1_h8,24,11,18,0.4583333333333333,0.75,0.2916666666666667,7,0,17,0.015625,11.875,11.958333333333334,1.2755291005291005,1.0070175438596491,0.4138732340357727,0.0,0.41387323403577275,0.19117520945113822,12.689014127713818
