case_id,baseline_strategy_id,strategy_id,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_rerank_rate,mean_gate_rate,mean_requery_rate,mean_surrogate_alarm_rate,mean_selected_open_loop_steps
milk_task5_init0_factorial,max_value,horizon_only_l1_h8,24,10,9,0.4166666666666667,0.375,-0.041666666666666664,7,8,9,1.0,11.833333333333334,15.333333333333334,1.299323361823362,1.295774647887324,0.0,0.0,0.42503956061425097,0.24485390680727367,12.59968351508599
milk_task5_init0_factorial,max_value,requery_l1_h8,24,10,8,0.4166666666666667,0.3333333333333333,-0.08333333333333333,7,9,8,0.803619384765625,11.833333333333334,15.625,1.2938161375661377,1.3204225352112675,0.4346075539670741,0.0,0.4346075539670741,0.23773063577146392,12.523139568263408
new_ood_spatial_swap_task8_init0_factorial,max_value,action_l1,24,0,1,0.0,0.041666666666666664,0.041666666666666664,1,0,23,1.0,14.0,13.958333333333334,1.0,0.9970238095238095,0.4292582417582418,0.0,0.0,0.26259157509157505,16.0
new_ood_spatial_swap_task8_init0_factorial,max_value,horizon_only_l1_h8,24,0,7,0.0,0.2916666666666667,0.2916666666666667,7,0,17,0.015625,14.0,17.041666666666668,1.306069624819625,1.2172619047619049,0.0,0.0,0.43937908532529274,0.297098076466304,12.48496731739766
new_ood_spatial_swap_task8_init0_factorial,max_value,requery_l1_h8,24,0,10,0.0,0.4166666666666667,0.4166666666666667,10,0,14,0.001953125,14.0,16.041666666666668,1.299083092833093,1.1458333333333335,0.4485038883258698,0.0,0.4485038883258697,0.276559168707969,12.411968893393043
spatial_mug_task0_init0_factorial,max_value,action_l1,24,18,13,0.75,0.5416666666666666,-0.20833333333333334,4,9,11,0.266845703125,8.583333333333334,10.583333333333334,1.0,1.233009708737864,0.4266774891774892,0.0,0.0,0.31737012987012986,16.0
spatial_mug_task0_init0_factorial,max_value,horizon_only_l1_h8,24,18,23,0.75,0.9583333333333334,0.20833333333333334,6,1,17,0.125,8.583333333333334,7.666666666666667,1.2958333333333334,0.8932038834951456,0.0,0.0,0.4613095238095238,0.15269510582010581,12.30952380952381
spatial_mug_task0_init0_factorial,max_value,requery_l1_h8,24,18,21,0.75,0.875,0.125,5,2,17,0.453125,8.583333333333334,9.0,1.3073412698412696,1.0485436893203883,0.4662322677609055,0.0,0.4662322677609055,0.22904107183809197,12.270141857912757
yellow_task8_init0_factorial,max_value,action_l1,24,11,11,0.4583333333333333,0.4583333333333333,0.0,3,3,18,1.0,12.083333333333334,11.875,1.0,0.9827586206896551,0.41150793650793654,0.0,0.0,0.3161375661375661,16.0
yellow_task8_init0_factorial,max_value,horizon_only_l1_h8,24,11,16,0.4583333333333333,0.6666666666666666,0.20833333333333334,7,2,15,0.1796875,12.083333333333334,12.75,1.265112433862434,1.0551724137931033,0.0,0.0,0.4132988814877359,0.21655161001136233,12.693608948098111
yellow_task8_init0_factorial,max_value,requery_l1_h8,24,11,18,0.4583333333333333,0.75,0.2916666666666667,8,1,15,0.0390625,12.083333333333334,11.958333333333334,1.2755291005291005,0.9896551724137931,0.4138732340357727,0.0,0.41387323403577275,0.19117520945113822,12.689014127713818
