job_id,cohort,cell,camera,projected_gt_cv,intrinsic,camera_to_world,target_pixels,observation_raw_mae,observation_flipped_mae,target_xyz,predicted_xyz,predicted_pixel_cv,target_in_front,pixel_center_error,xy_error_m,xy_error_true_plane_m,world_reconstruction_error_m,gt_projection_roundtrip_error_m,plane_height_error_m,predicted_pixel_to_target_mask_px
x0.3_t4_i25,transfer,x0.3_t4,agentview,"[53.08782519111565, 147.89877861398688]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",712,0.2539520263671875,55.67192077636719,"[0.09000293001277923, -0.239997585361044, 0.07240547676577393]","[-0.11039734218927233, -0.18337568770151969, 0.2054778933525085]","[76.0, 84.0]",True,67.88241055554953,0.20824578841652958,0.5018518230350402,0.0,3.6215442729969596e-16,0.13307241658673458,47.41307836451879
x0.3_t5_i25,transfer,x0.3_t5,agentview,"[72.26858017668587, 133.30212083136726]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",267,0.382415771484375,56.012288411458336,"[-0.055898241791339974, -0.20457410347783242, 0.03368958882479102]","[-0.4093823733344091, -0.09267259041990412, 0.03839259594678879]","[108.0, 91.0]",True,55.37331297133595,0.3707734886388339,0.38015053397604814,0.0,4.651129766017029e-16,0.004703007121997768,41.773197148410844
x0.3_t6_i25,transfer,x0.3_t6,agentview,"[57.13449873278336, 163.16744652374896]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",227,0.3344014485677083,54.90765380859375,"[0.08788462024116814, -0.23517099777791528, 0.008695477418608112]","[0.03883274357728306, -0.23513086259932878, 0.035338737070560455]","[59.0, 148.0]",True,15.281738416448942,0.04905189308356563,0.08682741609941981,0.0,3.822733888147586e-16,0.026643259651952342,6.708203932499369
x0.3_t7_i25,transfer,x0.3_t7,agentview,"[53.30965549531782, 148.6314458723467]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",804,0.081085205078125,55.95989990234375,"[0.09030237540734289, -0.2395667127407529, 0.06973547730149791]","[-0.4178941195602923, -0.34985163896694854, 0.06973547488451004]","[52.0, 84.0]",True,64.64471357401544,0.5200254248112366,0.5200254191515375,0.0,1.0569008315563939e-16,2.416987873732346e-09,46.0
x0.3_t8_i25,transfer,x0.3_t8,agentview,"[55.38860239934602, 162.52503490084737]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",353,0.3208719889322917,55.262166341145836,"[0.0899998874435213, -0.24000000000000002, 0.013065477418608112]","[-0.10403445788880394, -0.10747076080420302, 0.013065477833151817]","[100.0, 131.0]",True,54.62604343519015,0.23497516126254883,0.2349751617608694,0.0,3.065703529144609e-16,4.145437049185574e-10,42.5440947723653
x0.3_t9_i25,transfer,x0.3_t9,agentview,"[102.32562047480764, 111.00930393306795]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",182,0.3376413981119792,56.5798085530599,"[-0.15999993479427166, -0.10000162784608982, 0.06973547730149801]","[-0.4511704980226674, 0.018074068574889142, 0.1724153757095337]","[132.0, 60.0]",True,59.01286205515928,0.31420083859856324,0.5935983842829685,0.0,3.3537189618722464e-16,0.10267989840803568,55.036351623268054
x0.2_t5_i26,replication,x0.2_t5,agentview,"[101.38999863494095, 127.35169992633921]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",32,0.295745849609375,55.946756998697914,"[-0.08976095092862962, -0.09993920296124814, 0.038392596419837215]","[-0.11407193179276764, -0.10702925776388418, 0.03839259594678879]","[100.0, 124.0]",True,3.628496741263517,0.025323756981950118,0.025323756208347342,0.0,2.8313748239171495e-16,4.73048426818945e-10,11.045361017187261
x0.2_t6_i26,replication,x0.2_t6,agentview,"[56.219329470263666, 152.55043864589925]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",190,0.3690338134765625,57.88123067220052,"[0.028788851309406484, -0.24985920255456617, 0.008695477294682487]","[0.03549081572233892, -0.23555215047873523, 0.03713494911789894]","[59.0, 147.0]",True,6.208018827036209,0.015798989400994962,0.03342697413075563,0.0,3.0038278561619005e-16,0.028439471823216454,0.0
x0.2_t9_i26,replication,x0.2_t9,agentview,"[98.77272139223528, 114.76477895921549]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",555,0.3610178629557292,57.42553202311198,"[-0.1302947078959791, -0.11145527494464022, 0.06973547730149805]","[-0.47439823723300334, 0.01838555683226292, 0.16418445110321045]","[132.0, 60.0]",True,64.05648334188938,0.36778510097435213,0.6250439943753843,0.0,2.5362582704159623e-16,0.0944489738017124,50.80354318352215
y0.2_t4_i26,replication,y0.2_t4,agentview,"[101.54946404114521, 115.49062807610738]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",484,0.2536468505859375,53.98453267415365,"[-0.11999706998722078, -0.09999758536104371, 0.07240547676577394]","[0.11131711404909372, -0.0816897868076373, 0.20547789335250854]","[100.0, 115.0]",True,1.6252860437064274,0.23203755563325967,0.0072067795403928415,0.0,4.036504345286403e-16,0.1330724165867346,0.0
