case_id,baseline_strategy_id,strategy_id,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_rerank_rate,mean_gate_rate,mean_requery_rate,mean_selected_open_loop_steps
milk_task5_init0_adaptive_screen,action_l1,max_value,12,7,6,0.5833333333333334,0.5,-0.08333333333333333,1,2,9,1.0,11.416666666666666,11.666666666666666,1.0,1.0218978102189782,0.0,0.0,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,max_value_replay,12,7,6,0.5833333333333334,0.5,-0.08333333333333333,1,2,9,1.0,11.416666666666666,11.666666666666666,1.0,1.0218978102189782,0.0,0.0,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,phase_l1_r0.3,12,7,8,0.5833333333333334,0.6666666666666666,0.08333333333333333,3,2,7,1.0,11.416666666666666,11.166666666666666,1.0,0.9781021897810219,0.2078042328042328,0.4616402116402116,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,phase_l1_r0.5,12,7,7,0.5833333333333334,0.5833333333333334,0.0,3,3,6,1.0,11.416666666666666,11.583333333333334,1.0,1.0145985401459856,0.2982804232804233,0.6231481481481481,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,phase_l1_r0.7,12,7,8,0.5833333333333334,0.6666666666666666,0.08333333333333333,3,2,7,1.0,11.416666666666666,11.583333333333334,1.0,1.0145985401459856,0.3863756613756613,0.8809523809523808,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,requery_l1_h12,12,7,3,0.5833333333333334,0.25,-0.3333333333333333,0,4,8,0.125,11.416666666666666,14.416666666666666,1.1101190476190474,1.2627737226277373,0.4079861111111111,0.0,0.4079861111111111,14.368055555555555
milk_task5_init0_adaptive_screen,action_l1,requery_l1_h4,12,7,8,0.5833333333333334,0.6666666666666666,0.08333333333333333,3,2,7,1.0,11.416666666666666,14.916666666666666,1.4517045454545456,1.3065693430656935,0.37877908340369637,0.0,0.37877908340369637,11.454650999155644
milk_task5_init0_adaptive_screen,action_l1,requery_l1_h8,12,7,8,0.5833333333333334,0.6666666666666666,0.08333333333333333,2,1,9,1.0,11.416666666666666,12.666666666666666,1.3125,1.1094890510948905,0.4396659075645144,0.0,0.4396659075645144,12.482672739483887
yellow_task8_init0_adaptive_screen,action_l1,action_l0.5,12,5,5,0.4166666666666667,0.4166666666666667,0.0,1,1,10,1.0,12.5,12.083333333333334,1.0,0.9666666666666667,0.1765873015873016,0.0,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,action_l1_replay,12,5,5,0.4166666666666667,0.4166666666666667,0.0,0,0,12,1.0,12.5,12.5,1.0,1.0,0.37129629629629624,0.0,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,action_l2,12,5,6,0.4166666666666667,0.5,0.08333333333333333,4,3,5,1.0,12.5,11.25,1.0,0.9,0.55,0.0,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,consensus_l0.5,12,5,6,0.4166666666666667,0.5,0.08333333333333333,2,1,9,1.0,12.5,11.75,1.0,0.94,0.25515873015873014,0.0,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,consensus_l1,12,5,4,0.4166666666666667,0.3333333333333333,-0.08333333333333333,1,2,9,1.0,12.5,12.416666666666666,1.0,0.9933333333333333,0.4154761904761905,0.0,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,consensus_l2,12,5,4,0.4166666666666667,0.3333333333333333,-0.08333333333333333,1,2,9,1.0,12.5,12.666666666666666,1.0,1.0133333333333332,0.5268111518111518,0.0,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,difficulty_l1_t0.088588,12,5,3,0.4166666666666667,0.25,-0.16666666666666666,1,3,8,0.625,12.5,12.916666666666666,1.0,1.0333333333333332,0.3718253968253969,1.0,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,difficulty_l1_t0.1,12,5,5,0.4166666666666667,0.4166666666666667,0.0,0,0,12,1.0,12.5,12.5,1.0,1.0,0.37129629629629624,1.0,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,difficulty_l1_t0.2,12,5,5,0.4166666666666667,0.4166666666666667,0.0,0,0,12,1.0,12.5,12.5,1.0,1.0,0.37129629629629624,1.0,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,difficulty_requery_l1_t0.088588_h12,12,5,7,0.4166666666666667,0.5833333333333334,0.16666666666666666,4,2,6,0.6875,12.5,11.666666666666666,1.111111111111111,0.9333333333333332,0.38645833333333335,1.0,0.38645833333333335,14.454166666666666
yellow_task8_init0_adaptive_screen,action_l1,difficulty_requery_l1_t0.088588_h4,12,5,3,0.4166666666666667,0.25,-0.16666666666666666,0,2,10,0.5,12.5,17.833333333333332,1.457142857142857,1.4266666666666665,0.3990896934256572,1.0,0.3990896934256572,11.210923678892113
yellow_task8_init0_adaptive_screen,action_l1,difficulty_requery_l1_t0.088588_h8,12,5,9,0.4166666666666667,0.75,0.3333333333333333,4,0,8,0.125,12.5,11.75,1.2391534391534391,0.94,0.3849611309170133,1.0,0.38496113091701334,12.920310952663895
yellow_task8_init0_adaptive_screen,action_l1,difficulty_requery_l1_t0.1_h8,12,5,9,0.4166666666666667,0.75,0.3333333333333333,4,0,8,0.125,12.5,11.75,1.2391534391534391,0.94,0.3849611309170133,1.0,0.38496113091701334,12.920310952663895
yellow_task8_init0_adaptive_screen,action_l1,difficulty_requery_l1_t0.2_h8,12,5,9,0.4166666666666667,0.75,0.3333333333333333,4,0,8,0.125,12.5,11.75,1.2391534391534391,0.94,0.3849611309170133,1.0,0.38496113091701334,12.920310952663895
yellow_task8_init0_adaptive_screen,action_l1,margin_l1_v0.0005_u0,12,5,4,0.4166666666666667,0.3333333333333333,-0.08333333333333333,1,2,9,1.0,12.5,12.25,1.0,0.98,0.0794973544973545,0.0794973544973545,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,margin_l1_v0.002_u0,12,5,5,0.4166666666666667,0.4166666666666667,0.0,1,1,10,1.0,12.5,12.166666666666666,1.0,0.9733333333333333,0.1906084656084656,0.1906084656084656,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,max_value,12,5,3,0.4166666666666667,0.25,-0.16666666666666666,1,3,8,0.625,12.5,12.916666666666666,1.0,1.0333333333333332,0.0,0.0,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,max_value_replay,12,5,4,0.4166666666666667,0.3333333333333333,-0.08333333333333333,1,2,9,1.0,12.5,12.416666666666666,1.0,0.9933333333333333,0.0,0.0,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,phase_l1_r0.3,12,5,7,0.4166666666666667,0.5833333333333334,0.16666666666666666,4,2,6,0.6875,12.5,11.416666666666666,1.0,0.9133333333333333,0.21957671957671954,0.45436507936507936,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,phase_l1_r0.5,12,5,5,0.4166666666666667,0.4166666666666667,0.0,0,0,12,1.0,12.5,12.583333333333334,1.0,1.0066666666666668,0.18994708994708998,0.5731481481481482,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,requery_l1_h12,12,5,5,0.4166666666666667,0.4166666666666667,0.0,2,2,8,1.0,12.5,13.166666666666666,1.1024369149369149,1.0533333333333332,0.40216600529100527,0.0,0.40216600529100527,14.391335978835977
yellow_task8_init0_adaptive_screen,action_l1,requery_l1_h4,12,5,3,0.4166666666666667,0.25,-0.16666666666666666,0,2,10,0.5,12.5,17.833333333333332,1.457142857142857,1.4266666666666665,0.3990896934256572,0.0,0.3990896934256572,11.210923678892113
yellow_task8_init0_adaptive_screen,action_l1,requery_l1_h8,12,5,9,0.4166666666666667,0.75,0.3333333333333333,4,0,8,0.125,12.5,11.75,1.2391534391534391,0.94,0.3849611309170133,0.0,0.38496113091701334,12.920310952663895
