baseline_strategy_id,strategy_id,num_cases,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,delta_ci_low,delta_ci_high,min_case_delta,max_case_delta,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_requery_rate
action_l1,action_l0.5,3,36,22,21,0.6111111111111112,0.5833333333333334,-0.027777777777777776,-0.16666666666666666,0.1111111111111111,-0.08333333333333333,0.0,3,4,29,1.0,13.972222222222221,13.944444444444445,1.0,0.9980119284294235,0.0
action_l1,difficulty_l1_t0.088588,3,36,22,21,0.6111111111111112,0.5833333333333334,-0.027777777777777776,-0.19444444444444445,0.1388888888888889,-0.16666666666666666,0.08333333333333333,5,6,25,1.0,13.972222222222221,14.166666666666666,1.0,1.0139165009940359,0.0
action_l1,difficulty_requery_l1_t0.088588_h4,3,36,22,21,0.6111111111111112,0.5833333333333334,-0.027777777777777776,-0.19444444444444445,0.1388888888888889,-0.16666666666666666,0.08333333333333333,4,5,27,1.0,13.972222222222221,17.583333333333332,1.363693944943945,1.2584493041749503,0.3161367755942227
action_l1,consensus_l2,3,36,22,20,0.6111111111111112,0.5555555555555556,-0.05555555555555555,-0.19444444444444445,0.08333333333333333,-0.08333333333333333,0.0,3,5,28,0.7265625,13.972222222222221,14.36111111111111,1.0,1.0278330019880717,0.0
action_l1,difficulty_l1_t0.1,3,36,22,20,0.6111111111111112,0.5555555555555556,-0.05555555555555555,-0.19444444444444445,0.08333333333333333,-0.08333333333333333,0.0,2,4,30,0.6875,13.972222222222221,14.5,1.0,1.0377733598409544,0.0
action_l1,margin_l1_v0.0005_u0,3,36,22,20,0.6111111111111112,0.5555555555555556,-0.05555555555555555,-0.2222222222222222,0.1111111111111111,-0.08333333333333333,0.0,4,6,26,0.75390625,13.972222222222221,14.11111111111111,1.0,1.0099403578528827,0.0
action_l1,consensus_l0.5,3,36,22,20,0.6111111111111112,0.5555555555555556,-0.05555555555555555,-0.19444444444444445,0.08333333333333333,-0.25,0.08333333333333333,3,5,28,0.7265625,13.972222222222221,14.027777777777779,1.0,1.0039761431411531,0.0
action_l1,requery_l1_h12,3,36,22,20,0.6111111111111112,0.5555555555555556,-0.05555555555555555,-0.2222222222222222,0.1111111111111111,-0.3333333333333333,0.16666666666666666,4,6,26,0.75390625,13.972222222222221,14.416666666666666,1.1064339981006646,1.0318091451292246,0.40616181657848327
action_l1,max_value_replay,3,36,22,19,0.6111111111111112,0.5277777777777778,-0.08333333333333333,-0.2222222222222222,0.05555555555555555,-0.08333333333333333,-0.08333333333333333,2,5,29,0.453125,13.972222222222221,14.527777777777779,1.0,1.0397614314115309,0.0
action_l1,max_value,3,36,22,18,0.6111111111111112,0.5,-0.1111111111111111,-0.25,0.027777777777777776,-0.16666666666666666,-0.08333333333333333,2,6,28,0.2890625,13.972222222222221,14.694444444444445,1.0,1.05168986083499,0.0
action_l1,consensus_l1,3,36,22,17,0.6111111111111112,0.4722222222222222,-0.1388888888888889,-0.3055555555555556,0.027777777777777776,-0.3333333333333333,0.0,3,8,25,0.2265625,13.972222222222221,14.444444444444445,1.0,1.0337972166998013,0.0
action_l1,margin_l1_v0.002_u0.5,1,12,7,9,0.5833333333333334,0.75,0.16666666666666666,-0.25,0.5833333333333334,0.16666666666666666,0.16666666666666666,4,2,6,0.6875,11.416666666666666,11.166666666666666,1.0,0.9781021897810219,0.0
action_l1,margin_l1_v0.01_u0,1,12,7,8,0.5833333333333334,0.6666666666666666,0.08333333333333333,-0.25,0.4166666666666667,0.08333333333333333,0.08333333333333333,3,2,7,1.0,11.416666666666666,11.25,1.0,0.9854014598540146,0.0
action_l1,phase_l1_r0.7,1,12,7,8,0.5833333333333334,0.6666666666666666,0.08333333333333333,-0.25,0.4166666666666667,0.08333333333333333,0.08333333333333333,3,2,7,1.0,11.416666666666666,11.583333333333334,1.0,1.0145985401459856,0.0
