job_id,arm,boundary,cell,init_state_id,t,terminal_success,num_samples,action_std_mean,action_std_max,action_first_step_l2_std,action_xyz_std_mean,action_rot_std_mean,action_gripper_std_mean,action_pairwise_l2_mean,value_mean,value_std,value_range,future_proprio_std_mean,future_proprio_std_max,future_image_pixel_std_mean,future_image_pixel_std_p95,future_image_pixel_std_max,future_wrist_pixel_std_mean,future_wrist_pixel_std_p95,future_wrist_pixel_std_max,latent_action_across_seed_std_mean,latent_action_across_seed_std_p95,latent_action_across_seed_std_max,latent_future_proprio_across_seed_std_mean,latent_future_proprio_across_seed_std_p95,latent_future_proprio_across_seed_std_max,latent_value_across_seed_std_mean,latent_value_across_seed_std_p95,latent_value_across_seed_std_max,latent_action_copy_std_mean_mean_over_samples,latent_action_copy_std_mean_max_over_samples,latent_action_copy_std_max_mean_over_samples,latent_action_copy_std_max_max_over_samples,latent_action_first_step_copy_l2_std_mean_over_samples,latent_action_first_step_copy_l2_std_max_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_max_over_samples,latent_future_proprio_copy_std_max_mean_over_samples,latent_future_proprio_copy_std_max_max_over_samples,latent_value_element_std_mean_mean_over_samples,latent_value_element_std_mean_max_over_samples,latent_value_element_std_max_mean_over_samples,latent_value_element_std_max_max_over_samples
x0.3_t4_i28,baseline_h16,72,x0.3_t4,28,64,False,4.0,0.01224757544696331,0.9763393998146057,0.007133049424737692,0.006350687239319086,0.0013017269084230065,0.06277578324079514,0.10065683722496033,0.41843441128730774,0.004660440608859062,0.010861784219741821,0.011973511427640915,0.052090104669332504,0.9304894804954529,2.915475845336914,40.15594482421875,2.4152309894561768,7.790218353271484,80.67527770996094,0.016515113413333893,0.0170030165463686,1.0141962766647339,0.015654517337679863,0.05300400033593178,0.06669888645410538,0.010847635567188263,0.016816217452287674,0.026163920760154724,0.008687871042639017,0.009095321409404278,0.02028632117435336,0.03912550210952759,0.02153533138334751,0.02168886363506317,0.008524712873622775,0.009421195834875107,0.009118974674493074,0.010461559519171715,0.008478610310703516,0.008943838067352772,0.008478610310703516,0.008943838067352772
x0.3_t4_i28,baseline_h16,72,x0.3_t4,28,80,False,4.0,0.031062321737408638,0.5145084261894226,0.013350491411983967,0.008588108234107494,0.001247233827598393,0.18793022632598877,0.27696388959884644,0.48527270555496216,0.002001355402171612,0.00517040491104126,0.0319870263338089,0.13356193900108337,0.6678493618965149,1.8708287477493286,21.92458724975586,2.45788836479187,10.779030799865723,67.27741241455078,0.03524140268564224,0.26065149903297424,0.5772396922111511,0.034700483083724976,0.13583558797836304,0.15100924670696259,0.006784564349800348,0.011784340254962444,0.021944545209407806,0.013217934407293797,0.013938305899500847,0.0706529151648283,0.09838908165693283,0.04789711255580187,0.0666060745716095,0.012279831804335117,0.014062945730984211,0.017477593384683132,0.021381501108407974,0.007775984471663833,0.007930235005915165,0.007775984471663833,0.007930235005915165
x0.3_t4_i28,baseline_h16,72,x0.3_t4,28,96,False,4.0,0.0016580092487856746,0.01081086415797472,0.011830803006887436,0.0028336194809526205,0.0007740459404885769,0.0007830691756680608,0.009091096930205822,0.32153093814849854,0.000235505256569013,0.0006279051303863525,0.0005352781736291945,0.0009472718229517341,0.5521214008331299,1.5,16.207637786865234,0.7208313941955566,1.8027756214141846,22.96056365966797,0.006137760356068611,0.011157981120049953,0.022107630968093872,0.0056220851838588715,0.009922957047820091,0.016345931217074394,0.005533100571483374,0.009837010875344276,0.019162330776453018,0.007603610632941127,0.007689759135246277,0.009402404306456447,0.010032882913947105,0.020385608077049255,0.020880410447716713,0.007718610693700612,0.007779319304972887,0.00827035284601152,0.008353340439498425,0.007133450242690742,0.0072438097558915615,0.007133450242690742,0.0072438097558915615
x0.3_t4_i28,baseline_h16,72,x0.3_t4,28,112,False,4.0,0.0017533516511321068,0.007158500608056784,0.007174854166805744,0.003051614621654153,0.000785396434366703,0.0007624283898621798,0.00928002130240202,0.36204829812049866,7.503754750359803e-05,0.00020840764045715332,0.0005502008716575801,0.0012747900327667594,0.7279888391494751,2.2776083946228027,23.280893325805664,1.2482303380966187,3.5,67.14303588867188,0.006120764650404453,0.0110321044921875,0.019992107525467873,0.005583409685641527,0.009948918595910072,0.018265364691615105,0.005400933790951967,0.009631798602640629,0.015800556167960167,0.007597347255796194,0.007648636121302843,0.009482833789661527,0.009982407093048096,0.020788806956261396,0.021084995940327644,0.007526177912950516,0.0075843376107513905,0.007927686208859086,0.007979701273143291,0.0070237877080217,0.007057543378323317,0.0070237877080217,0.007057543378323317
x0.3_t4_i28,baseline_h16,72,x0.3_t4,28,128,False,4.0,0.014034437946975231,0.8697225451469421,0.015373348258435726,0.012585273943841457,0.001114147249609232,0.05714280530810356,0.11767999082803726,0.39717966318130493,0.004495265427976847,0.01061636209487915,0.005561502650380135,0.019001416862010956,1.5724987983703613,5.847007751464844,60.76337432861328,3.2672080993652344,14.361406326293945,82.81417083740234,0.018227754160761833,0.03598370403051376,0.8985382914543152,0.008671395480632782,0.02049442008137703,0.03206341713666916,0.010444018058478832,0.01600608602166176,0.02392568066716194,0.008446077117696404,0.008932431228458881,0.02682358492165804,0.06080376356840134,0.02429871028289199,0.02517928183078766,0.008302263915538788,0.008444438688457012,0.009314010152593255,0.009588683024048805,0.007751565310172737,0.008124291896820068,0.007751565310172737,0.008124291896820068
x0.3_t4_i28,baseline_h16,72,x0.3_t4,28,144,False,4.0,0.012804077938199043,0.8729901313781738,0.011266086250543594,0.009338109754025936,0.001816522446461022,0.05616464838385582,0.09054464101791382,0.36291810870170593,0.003944365307688713,0.010331571102142334,0.02500796690583229,0.104342520236969,1.0417568683624268,3.2015621662139893,54.336910247802734,2.7692060470581055,9.364160537719727,83.30178833007812,0.017179109156131744,0.022670995444059372,0.8944660425186157,0.02790481224656105,0.10578113794326782,0.1200113594532013,0.009649102576076984,0.01534145325422287,0.023582957684993744,0.008414745796471834,0.008471596986055374,0.012365092290565372,0.013548958115279675,0.02171523403376341,0.022734664380550385,0.00901237828657031,0.009374158456921577,0.010711818700656295,0.01193734910339117,0.008970310911536217,0.009303424507379532,0.008970310911536217,0.009303424507379532
x0.3_t4_i28,baseline_h16,72,x0.3_t4,28,160,False,4.0,0.0032145720906555653,0.020599694922566414,0.008906018920242786,0.003574840724468231,0.0005765023524872959,0.01004797499626875,0.01954863779246807,0.5082926154136658,0.0008060784894041717,0.0020849108695983887,0.005291860084980726,0.023427527397871017,0.8215433955192566,2.4494898319244385,33.47666931152344,2.936025381088257,12.577260971069336,72.44092559814453,0.007151703350245953,0.014924421906471252,0.03673217445611954,0.0091474037617445,0.025253664702177048,0.03547743335366249,0.005625971592962742,0.009943925775587559,0.016934778541326523,0.008623943664133549,0.008989429101347923,0.015104798832908273,0.017493190243840218,0.024478581734001637,0.02469216100871563,0.008095452561974525,0.008349673822522163,0.010904236230999231,0.011853814125061035,0.00723986339289695,0.0073080710135400295,0.00723986339289695,0.0073080710135400295
x0.3_t4_i28,baseline_h16,72,x0.3_t4,28,176,False,4.0,0.0032097329385578632,0.016031360253691673,0.020177777856588364,0.005914350971579552,0.0012976836878806353,0.0008320274646393955,0.01799154095351696,0.38313254714012146,0.001956860302016139,0.005333393812179565,0.006245245225727558,0.024224327877163887,1.0240787267684937,3.41869854927063,52.47856521606445,3.3421013355255127,14.042346954345703,62.90071487426758,0.007594857830554247,0.015401039272546768,0.02916153147816658,0.009858583100140095,0.026704614982008934,0.039384663105010986,0.006892581470310688,0.011930689215660095,0.019633322954177856,0.008508043829351664,0.008606345392763615,0.013076759409159422,0.014253774657845497,0.024082504212856293,0.024824440479278564,0.014711407013237476,0.01512920018285513,0.02408451260998845,0.025155192241072655,0.008443774655461311,0.00867687538266182,0.008443774655461311,0.00867687538266182
x0.3_t4_i28,baseline_h16,72,x0.3_t4,28,192,False,4.0,0.002043431857600808,0.0071428148075938225,0.004083746112883091,0.003649299731478095,0.0009003211744129658,0.0006551601691171527,0.011200188659131527,0.32924166321754456,0.0003932079125661403,0.001067042350769043,0.0006825201562605798,0.001175811979919672,0.9763652682304382,2.9474565982818604,44.09294128417969,2.1631288528442383,7.595228672027588,64.08002471923828,0.0064038909040391445,0.011585548520088196,0.020314406603574753,0.005595068447291851,0.009976728819310665,0.01657766103744507,0.005546592175960541,0.009856486693024635,0.017762353643774986,0.007706717937253416,0.007811365183442831,0.009731030324473977,0.009948046877980232,0.02093409188091755,0.021659206598997116,0.007483555120415986,0.007501288317143917,0.007723719929344952,0.007802919484674931,0.007175041362643242,0.007296919357031584,0.007175041362643242,0.007296919357031584
x0.3_t4_i28,baseline_h16,72,x0.3_t4,28,208,False,4.0,0.008758447133004665,0.7248045206069946,0.009128888137638569,0.004164458718150854,0.0005987821496091783,0.04701940715312958,0.0662396028637886,0.37660321593284607,0.0008404567488469183,0.0022225677967071533,0.006950389128178358,0.029688119888305664,0.7619643211364746,2.384848117828369,23.742103576660156,1.493393063545227,4.4370598793029785,68.47992706298828,0.01293344609439373,0.012545609846711159,0.7576920390129089,0.010845248587429523,0.03169398754835129,0.045079153031110764,0.00569069804623723,0.01017660740762949,0.020126616582274437,0.007848187466152012,0.008339443244040012,0.018415348837152123,0.031537946313619614,0.01997723337262869,0.021309303119778633,0.007882903097197413,0.008271901868283749,0.008603554451838136,0.00927130226045847,0.007095262059010565,0.00737665593624115,0.007095262059010565,0.00737665593624115
