factor,target,method,budget,states,selected,mean_vof_selected,uplift_per_decision,positive_rate_selected,positive_vof_auc
Position,terminal_vof,grouped_oof_ridge,0.1,141,15,0.10833333333333338,0.011524822695035465,0.13333333333333333,0.49747474747474746
Position,terminal_vof,grouped_oof_ridge,0.2,141,29,-0.1801724137931035,-0.037056737588652494,0.06896551724137931,0.49747474747474746
Position,terminal_vof,grouped_oof_ridge,0.3,141,43,-0.4203488372093022,-0.1281914893617021,0.046511627906976744,0.49747474747474746
Position,terminal_vof,random,0.1,141,15,-0.2916666666666668,-0.031028368794326255,0.06666666666666667,0.42676767676767674
Position,terminal_vof,random,0.2,141,29,-0.26637931034482765,-0.0547872340425532,0.034482758620689655,0.42676767676767674
Position,terminal_vof,random,0.3,141,43,-0.11802325581395351,-0.03599290780141845,0.046511627906976744,0.42676767676767674
Position,terminal_vof,oracle,0.1,141,15,1.3416666666666666,0.1427304964539007,0.6,1.0
Position,terminal_vof,oracle,0.2,141,29,0.681896551724138,0.14024822695035463,0.3103448275862069,1.0
Position,terminal_vof,oracle,0.3,141,43,0.4517441860465116,0.13776595744680853,0.20930232558139536,1.0
Position,terminal_vof,factor_phase_oof_mean,0.1,141,15,-0.22499999999999992,-0.023936170212765947,0.06666666666666667,0.6325757575757576
Position,terminal_vof,factor_phase_oof_mean,0.2,141,29,-0.4387931034482758,-0.0902482269503546,0.10344827586206896,0.6325757575757576
Position,terminal_vof,factor_phase_oof_mean,0.3,141,43,-0.30406976744186043,-0.0927304964539007,0.06976744186046512,0.6325757575757576
Position,terminal_vof,value_range,0.1,141,15,-0.09166666666666665,-0.009751773049645389,0.13333333333333333,0.5925925925925926
Position,terminal_vof,value_range,0.2,141,29,-0.23189655172413798,-0.04769503546099292,0.13793103448275862,0.5925925925925926
Position,terminal_vof,value_range,0.3,141,43,-0.23430232558139538,-0.07145390070921986,0.09302325581395349,0.5925925925925926
Position,terminal_vof,action_first_step_l2_std,0.1,141,15,-0.09166666666666663,-0.009751773049645387,0.06666666666666667,0.5008417508417509
Position,terminal_vof,action_first_step_l2_std,0.2,141,29,-0.16293103448275867,-0.03351063829787235,0.06896551724137931,0.5008417508417509
Position,terminal_vof,action_first_step_l2_std,0.3,141,43,-0.18779069767441864,-0.0572695035460993,0.046511627906976744,0.5008417508417509
Position,terminal_vof,planning_predicted_proprio_error,0.1,141,15,-0.29166666666666685,-0.03102836879432626,0.0,0.20875420875420875
Position,terminal_vof,planning_predicted_proprio_error,0.2,141,29,-0.36982758620689665,-0.07606382978723407,0.0,0.20875420875420875
Position,terminal_vof,planning_predicted_proprio_error,0.3,141,43,-0.32732558139534884,-0.099822695035461,0.0,0.20875420875420875
