factor,target,method,budget,states,selected,mean_vof_selected,uplift_per_decision,positive_rate_selected,positive_vof_auc
Object,terminal_vof,planning_predicted_proprio_error,0.3,120,36,0.11388888888888886,0.03416666666666666,0.25,0.5085623257666269
Position,local_vof,grouped_oof_ridge,0.1,136,14,-0.025000000000000005,-0.0025735294117647067,0.0,
Position,local_vof,grouped_oof_ridge,0.2,136,28,-0.025000000000000005,-0.005147058823529413,0.0,
Position,local_vof,grouped_oof_ridge,0.3,136,41,-0.024999999999999998,-0.007536764705882352,0.0,
Position,local_vof,random,0.1,136,14,-0.025000000000000005,-0.0025735294117647067,0.0,
Position,local_vof,random,0.2,136,28,-0.025000000000000005,-0.005147058823529413,0.0,
Position,local_vof,random,0.3,136,41,-0.024999999999999998,-0.007536764705882352,0.0,
Position,local_vof,oracle,0.1,136,14,-0.025000000000000005,-0.0025735294117647067,0.0,
Position,local_vof,oracle,0.2,136,28,-0.025000000000000005,-0.005147058823529413,0.0,
Position,local_vof,oracle,0.3,136,41,-0.024999999999999998,-0.007536764705882352,0.0,
Position,local_vof,factor_phase_oof_mean,0.1,136,14,-0.025000000000000005,-0.0025735294117647067,0.0,
Position,local_vof,factor_phase_oof_mean,0.2,136,28,-0.025000000000000005,-0.005147058823529413,0.0,
Position,local_vof,factor_phase_oof_mean,0.3,136,41,-0.024999999999999998,-0.007536764705882352,0.0,
Position,local_vof,value_range,0.1,136,14,-0.025000000000000005,-0.0025735294117647067,0.0,
Position,local_vof,value_range,0.2,136,28,-0.025000000000000005,-0.005147058823529413,0.0,
Position,local_vof,value_range,0.3,136,41,-0.024999999999999998,-0.007536764705882352,0.0,
Position,local_vof,action_first_step_l2_std,0.1,136,14,-0.025000000000000005,-0.0025735294117647067,0.0,
Position,local_vof,action_first_step_l2_std,0.2,136,28,-0.025000000000000005,-0.005147058823529413,0.0,
Position,local_vof,action_first_step_l2_std,0.3,136,41,-0.024999999999999998,-0.007536764705882352,0.0,
Position,local_vof,planning_predicted_proprio_error,0.1,136,14,-0.025000000000000005,-0.0025735294117647067,0.0,
Position,local_vof,planning_predicted_proprio_error,0.2,136,28,-0.025000000000000005,-0.005147058823529413,0.0,
Position,local_vof,planning_predicted_proprio_error,0.3,136,41,-0.024999999999999998,-0.007536764705882352,0.0,
Position,terminal_vof,grouped_oof_ridge,0.1,136,14,0.11785714285714288,0.012132352941176473,0.14285714285714285,0.5056867891513561
Position,terminal_vof,grouped_oof_ridge,0.2,136,28,-0.292857142857143,-0.060294117647058845,0.07142857142857142,0.5056867891513561
Position,terminal_vof,grouped_oof_ridge,0.3,136,41,-0.43963414634146336,-0.13253676470588235,0.04878048780487805,0.5056867891513561
Position,terminal_vof,random,0.1,136,14,-0.31071428571428583,-0.03198529411764707,0.07142857142857142,0.4304461942257218
Position,terminal_vof,random,0.2,136,28,-0.2750000000000001,-0.05661764705882354,0.03571428571428571,0.4304461942257218
Position,terminal_vof,random,0.3,136,41,-0.12256097560975611,-0.036948529411764706,0.04878048780487805,0.4304461942257218
Position,terminal_vof,oracle,0.1,136,14,1.4392857142857145,0.14816176470588238,0.6428571428571429,1.0
Position,terminal_vof,oracle,0.2,136,28,0.7071428571428572,0.14558823529411766,0.32142857142857145,1.0
Position,terminal_vof,oracle,0.3,136,41,0.47500000000000003,0.14319852941176472,0.21951219512195122,1.0
Position,terminal_vof,factor_phase_oof_mean,0.1,136,14,0.04642857142857148,0.004779411764705887,0.21428571428571427,0.657917760279965
Position,terminal_vof,factor_phase_oof_mean,0.2,136,28,-0.45357142857142857,-0.09338235294117647,0.10714285714285714,0.657917760279965
Position,terminal_vof,factor_phase_oof_mean,0.3,136,41,-0.17134146341463416,-0.051654411764705886,0.12195121951219512,0.657917760279965
Position,terminal_vof,value_range,0.1,136,14,-0.3107142857142859,-0.03198529411764708,0.07142857142857142,0.5783027121609798
Position,terminal_vof,value_range,0.2,136,28,-0.23928571428571438,-0.04926470588235296,0.14285714285714285,0.5783027121609798
Position,terminal_vof,value_range,0.3,136,41,-0.24451219512195121,-0.07371323529411765,0.0975609756097561,0.5783027121609798
Position,terminal_vof,action_first_step_l2_std,0.1,136,14,-0.0964285714285714,-0.009926470588235292,0.07142857142857142,0.49343832020997375
Position,terminal_vof,action_first_step_l2_std,0.2,136,28,-0.1678571428571429,-0.034558823529411774,0.07142857142857142,0.49343832020997375
Position,terminal_vof,action_first_step_l2_std,0.3,136,41,-0.19573170731707318,-0.059007352941176476,0.04878048780487805,0.49343832020997375
Position,terminal_vof,planning_predicted_proprio_error,0.1,136,14,-0.025000000000000005,-0.0025735294117647067,0.0,0.2125984251968504
Position,terminal_vof,planning_predicted_proprio_error,0.2,136,28,-0.38214285714285723,-0.07867647058823532,0.0,0.2125984251968504
Position,terminal_vof,planning_predicted_proprio_error,0.3,136,41,-0.26890243902439026,-0.08106617647058824,0.0,0.2125984251968504
