case_id,baseline_strategy_id,strategy_id,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_rerank_rate,mean_gate_rate,mean_requery_rate,mean_surrogate_alarm_rate,mean_selected_open_loop_steps
long_mug_task4_init0_surrogate_screen,action_l1,max_value,8,5,5,0.625,0.625,0.0,1,1,6,1.0,21.625,21.625,1.0,1.0,0.0,0.0,0.0,0.04772727272727273,16.0
long_mug_task4_init0_surrogate_screen,action_l1,phase_l1_r0.3,8,5,5,0.625,0.625,0.0,0,0,8,1.0,21.625,21.625,1.0,1.0,0.21011904761904765,0.5362554112554112,0.0,0.06287878787878787,16.0
long_mug_task4_init0_surrogate_screen,action_l1,phase_requery_l1_r0.3_h8,8,5,6,0.625,0.75,0.125,2,1,5,1.0,21.625,21.375,1.172077922077922,0.9884393063583815,0.2683196195144725,0.6564192343604108,0.2683196195144725,0.08753939075630252,13.85344304388422
long_mug_task4_init0_surrogate_screen,action_l1,phase_requery_l1_r0.5_h8,8,5,8,0.625,1.0,0.375,3,0,5,0.25,21.625,16.5,1.2108516483516483,0.7630057803468208,0.3517565359477124,1.0,0.3517565359477124,0.020547385620915033,13.1859477124183
long_mug_task4_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.3_e0.0630054843163_h8,8,5,5,0.625,0.625,0.0,0,0,8,1.0,21.625,25.75,1.1295454545454544,1.1907514450867052,0.3298318001443002,0.7490823412698413,0.24572285353535353,0.24572285353535353,14.034217171717172
long_mug_task4_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.3_e0.0884176756291_h8,8,5,5,0.625,0.625,0.0,0,0,8,1.0,21.625,22.0,1.0113636363636362,1.0173410404624277,0.23910746116628473,0.5869747899159663,0.05399796282149223,0.05399796282149223,15.568016297428063
long_mug_task4_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.3_e0.146849980679_h8,8,5,5,0.625,0.625,0.0,0,0,8,1.0,21.625,21.875,1.0075757575757576,1.0115606936416186,0.21661255411255415,0.5557359307359306,0.021645021645021644,0.021645021645021644,15.826839826839826
long_mug_task4_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.5_e0.0884176756291_h8,8,5,5,0.625,0.625,0.0,0,0,8,1.0,21.625,22.375,1.0227272727272727,1.0346820809248556,0.3944264069264069,0.8456439393939394,0.06559343434343434,0.06559343434343434,15.475252525252525
long_mug_task4_init0_surrogate_screen,action_l1,requery_l1_h8,8,5,8,0.625,1.0,0.375,3,0,5,0.25,21.625,16.5,1.2108516483516483,0.7630057803468208,0.3517565359477124,0.0,0.3517565359477124,0.020547385620915033,13.1859477124183
long_mug_task4_init0_surrogate_screen,action_l1,surrogate_disagreement_l1_e0.0884176756291_h8,8,5,7,0.625,0.875,0.25,2,0,6,0.5,21.625,17.5,1.0075757575757576,0.8092485549132948,0.47023809523809523,1.0,0.026190476190476188,0.057142857142857134,15.790476190476191
long_mug_task4_init0_surrogate_screen,action_l1,surrogate_gate_l1_e0.0630054843163_h8,8,5,6,0.625,0.75,0.125,1,0,7,1.0,21.625,22.75,1.1208874458874458,1.0520231213872833,0.09621829710144927,0.2218070652173913,0.2218070652173913,0.2218070652173913,14.22554347826087
long_mug_task4_init0_surrogate_screen,action_l1,surrogate_gate_l1_e0.0884176756291_h8,8,5,6,0.625,0.75,0.125,1,0,7,1.0,21.625,20.125,1.0362012987012985,0.930635838150289,0.03025553126656068,0.07500496820349761,0.07500496820349761,0.07500496820349761,15.39996025437202
long_mug_task4_init0_surrogate_screen,action_l1,surrogate_gate_l1_e0.146849980679_h8,8,5,7,0.625,0.875,0.25,2,0,6,0.5,21.625,16.875,1.0,0.7803468208092486,0.016666666666666663,0.016666666666666666,0.016666666666666666,0.016666666666666666,15.866666666666667
long_mug_task4_init0_surrogate_screen,action_l1,surrogate_horizon_l1_e0.0630054843163_h8,8,5,5,0.625,0.625,0.0,0,0,8,1.0,21.625,26.625,1.1477272727272727,1.23121387283237,0.47438714153561523,1.0,0.2616083359029705,0.2616083359029705,13.907133312776235
long_mug_task4_init0_surrogate_screen,action_l1,surrogate_horizon_l1_e0.0884176756291_h8,8,5,5,0.625,0.625,0.0,0,0,8,1.0,21.625,22.875,1.0340909090909092,1.0578034682080926,0.47308022308022313,1.0,0.08585639210639211,0.08585639210639211,15.313148863148863
long_mug_task4_init0_surrogate_screen,action_l1,surrogate_horizon_l1_e0.146849980679_h8,8,5,5,0.625,0.625,0.0,0,0,8,1.0,21.625,21.875,1.0075757575757576,1.0115606936416186,0.4806277056277056,1.0,0.026190476190476188,0.026190476190476188,15.790476190476191
milk_task5_init0_surrogate_screen,action_l1,max_value,8,2,4,0.25,0.5,0.25,3,1,4,0.625,12.25,12.0,1.0,0.9795918367346939,0.0,0.0,0.0,0.3553571428571428,16.0
milk_task5_init0_surrogate_screen,action_l1,phase_l1_r0.3,8,2,4,0.25,0.5,0.25,3,1,4,0.625,12.25,11.375,1.0,0.9285714285714286,0.22500000000000003,0.47098214285714285,0.0,0.22098214285714285,16.0
milk_task5_init0_surrogate_screen,action_l1,phase_requery_l1_r0.3_h8,8,2,3,0.25,0.375,0.125,3,2,3,1.0,12.25,13.5,1.1607142857142858,1.1020408163265305,0.2204452614379085,0.48463031045751637,0.2204452614379085,0.15799632352941176,14.236437908496733
milk_task5_init0_surrogate_screen,action_l1,phase_requery_l1_r0.5_h8,8,2,3,0.25,0.375,0.125,3,2,3,1.0,12.25,14.375,1.2165178571428572,1.1734693877551021,0.3267091874628639,0.6930685531788474,0.3267091874628639,0.25930072786690433,13.386326500297088
milk_task5_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.3_e0.0630054843163_h8,8,2,2,0.25,0.25,0.0,1,1,6,1.0,12.25,17.25,1.3549107142857144,1.4081632653061225,0.4076194273562695,0.8340738209159262,0.49003189792663476,0.49003189792663476,12.07974481658692
milk_task5_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.3_e0.0884176756291_h8,8,2,1,0.25,0.125,-0.125,0,1,7,1.0,12.25,16.5,1.2388392857142858,1.346938775510204,0.34651004041967665,0.6709961945304438,0.3518984348125215,0.3518984348125215,13.184812521499827
milk_task5_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.3_e0.146849980679_h8,8,2,3,0.25,0.375,0.125,2,1,5,1.0,12.25,13.0,1.0906250000000002,1.0612244897959184,0.2809704184704185,0.5241341991341991,0.10546085858585859,0.10546085858585859,15.156313131313132
milk_task5_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.5_e0.0884176756291_h8,8,2,4,0.25,0.5,0.25,3,1,4,0.625,12.25,14.25,1.1990665584415585,1.163265306122449,0.426547680475699,0.8813273993808051,0.3233875128998968,0.3233875128998968,13.412899896800827
milk_task5_init0_surrogate_screen,action_l1,requery_l1_h8,8,2,4,0.25,0.5,0.25,3,1,4,0.625,12.25,14.0,1.2415178571428571,1.1428571428571428,0.3757148692810458,0.0,0.3757148692810457,0.188671740626075,12.994281045751634
milk_task5_init0_surrogate_screen,action_l1,surrogate_disagreement_l1_e0.0884176756291_h8,8,2,2,0.25,0.25,0.0,1,1,6,1.0,12.25,14.25,1.0917207792207793,1.163265306122449,0.3768178104575164,1.0,0.15759803921568627,0.31466503267973855,14.739215686274509
milk_task5_init0_surrogate_screen,action_l1,surrogate_gate_l1_e0.0630054843163_h8,8,2,2,0.25,0.25,0.0,2,2,4,1.0,12.25,18.875,1.4084821428571428,1.5408163265306123,0.24581387180071393,0.5870713716108453,0.5870713716108453,0.5870713716108453,11.303429027113237
milk_task5_init0_surrogate_screen,action_l1,surrogate_gate_l1_e0.0884176756291_h8,8,2,3,0.25,0.375,0.125,3,2,3,1.0,12.25,16.5,1.2702922077922076,1.346938775510204,0.17412372843874394,0.4156475748194014,0.4156475748194014,0.4156475748194014,12.674819401444788
milk_task5_init0_surrogate_screen,action_l1,surrogate_gate_l1_e0.146849980679_h8,8,2,1,0.25,0.125,-0.125,0,1,7,1.0,12.25,15.875,1.1339285714285714,1.2959183673469388,0.09392361111111111,0.19131944444444443,0.19131944444444443,0.19131944444444443,14.469444444444445
milk_task5_init0_surrogate_screen,action_l1,surrogate_horizon_l1_e0.0630054843163_h8,8,2,3,0.25,0.375,0.125,1,0,7,1.0,12.25,15.625,1.299107142857143,1.2755102040816326,0.42719962785752263,1.0,0.44105528973950026,0.44105528973950026,12.471557682083997
milk_task5_init0_surrogate_screen,action_l1,surrogate_horizon_l1_e0.0884176756291_h8,8,2,3,0.25,0.375,0.125,2,1,5,1.0,12.25,15.875,1.2417207792207794,1.2959183673469388,0.3885528493694128,1.0,0.3741116661975795,0.3741116661975795,13.007106670419365
milk_task5_init0_surrogate_screen,action_l1,surrogate_horizon_l1_e0.146849980679_h8,8,2,4,0.25,0.5,0.25,3,1,4,0.625,12.25,12.5,1.0805600649350648,1.0204081632653061,0.4958158263305322,1.0,0.13607026143790849,0.13607026143790849,14.911437908496733
spatial_mug_task0_init0_surrogate_screen,action_l1,max_value,8,8,6,1.0,0.75,-0.25,0,2,6,0.5,6.875,8.0,1.0,1.1636363636363636,0.0,0.0,0.0,0.25,16.0
spatial_mug_task0_init0_surrogate_screen,action_l1,phase_l1_r0.3,8,8,8,1.0,1.0,0.0,0,0,8,1.0,6.875,6.75,1.0,0.9818181818181818,0.28125,0.78125,0.0,0.19791666666666669,16.0
