source_run,strategy_id,case_id,suite,task_id,init_state_id,rollout_seed,planning_strategy,planning_risk_lambda,planning_difficulty_threshold,planning_value_margin,planning_uncertainty_margin,planning_phase_fraction,planning_short_open_loop_steps,planning_surrogate_error_threshold,experiment_split,num_open_loop_steps,success,final_t,num_queries,failure_type,target_drop_candidate,wrong_object_interaction_candidate,num_queries_observed,rerank_rate,gate_rate,requery_rate,surrogate_alarm_rate,mean_selected_open_loop_steps,nominal_queries_for_executed_steps,query_compute_ratio
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__phase_gated_action__l1p0,phase_l1_r0.3,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850000,phase_gated_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,False,520,33,kinematic_deadlock_candidate,False,False,33,0.12121212121212122,0.30303030303030304,0.0,0.18181818181818182,16.0,33.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__phase_gated_action__l1p0,phase_l1_r0.3,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850097,phase_gated_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,247,16,success,False,False,16,0.3125,0.625,0.0,0.0,16.0,16.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__phase_gated_action__l1p0,phase_l1_r0.3,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850194,phase_gated_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,244,16,success,False,False,16,0.3125,0.625,0.0,0.0,16.0,16.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__phase_gated_action__l1p0,phase_l1_r0.3,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850291,phase_gated_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,254,16,success,False,False,16,0.4375,0.625,0.0,0.0,16.0,16.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__phase_gated_action__l1p0,phase_l1_r0.3,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850388,phase_gated_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,240,15,success,False,False,15,0.2666666666666667,0.6666666666666666,0.0,0.0,16.0,15.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__phase_gated_action__l1p0,phase_l1_r0.3,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850485,phase_gated_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,263,17,success,False,False,17,0.47058823529411764,0.5882352941176471,0.0,0.058823529411764705,16.0,17.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__phase_gated_action__l1p0,phase_l1_r0.3,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850582,phase_gated_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,251,16,success,False,False,16,0.375,0.625,0.0,0.0,16.0,16.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__phase_gated_action__l1p0,phase_l1_r0.3,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850679,phase_gated_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,259,17,success,False,False,17,0.23529411764705888,0.5882352941176471,0.0,0.058823529411764705,16.0,17.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__phase_requery_action__l1p0,phase_requery_l1_r0.3_h8,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850000,phase_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,253,21,success,False,False,21,0.47619047619047616,0.7142857142857143,0.47619047619047616,0.0,12.19047619047619,16.0,1.3125
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__phase_requery_action__l1p0,phase_requery_l1_r0.3_h8,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850097,phase_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,False,520,37,timeout_partial_goal,False,False,37,0.21621621621621623,0.3783783783783784,0.21621621621621623,0.32432432432432434,14.27027027027027,33.0,1.121212121212121
